#Energy(Gev)                 upper               lower                spectr
0.214661743169   2.29471153339e-12   5.53645582165e-13   1.42417855778e-12
0.246134896636   2.28125401666e-12   5.97652956731e-13   1.43945348669e-12
0.28222256303   2.26800095075e-12   6.41783540858e-13   1.45489224581e-12
0.323601310388   2.25507795001e-12   6.85915234513e-13   1.47049659226e-12
0.371046903409   2.24263536246e-12   7.29901241669e-13   1.48626830206e-12
0.425448847425   2.23085283833e-12   7.73565502163e-13   1.50220917025e-12
0.487827064751   2.21994442212e-12   8.16697600114e-13   1.51832101112e-12
0.559351016095   2.21016395565e-12   8.59047361195e-13   1.53460565842e-12
0.641361625489   2.20181034814e-12   9.00319583044e-13   1.55106496559e-12
0.735396419805   2.19523192164e-12   9.40169690208e-13   1.56770080592e-12
0.843218354153   2.19082857521e-12   9.78201570415e-13   1.58451507281e-12
0.966848863596   2.18904998415e-12   1.01396937578e-12   1.60150967996e-12
1.10860576081   2.19038763532e-12   1.04698548788e-12   1.6186865616e-12
1.27114669022   2.19535853042e-12   1.07673681498e-12   1.6360476727e-12
1.45751895325   2.20447932401e-12   1.10271065438e-12   1.6535949892e-12
1.67121663882   2.21823185243e-12   1.12442916402e-12   1.67133050823e-12
1.9162461302   2.23702424632e-12   1.14148825037e-12   1.68925624834e-12
2.1972012163   2.26115494664e-12   1.15359355285e-12   1.70737424975e-12
2.51934921555   2.29078809713e-12   1.16058505192e-12   1.72568657453e-12
2.88872972707   2.32594658798e-12   1.16244402579e-12   1.74419530689e-12
3.31226786051   2.36652397119e-12   1.15928113556e-12   1.76290255338e-12
3.7979040673   2.41231098203e-12   1.15130990426e-12   1.78181044315e-12
4.35474300746   2.46302915264e-12   1.13881310374e-12   1.80092112819e-12
4.9932242429   2.51836402329e-12   1.12210954383e-12   1.82023678356e-12
5.72531795726   2.57799281903e-12   1.1015263963e-12   1.83975960767e-12
6.56474937178   2.64160443925e-12   1.0773792057e-12   1.85949182248e-12
7.52725606438   2.70891192764e-12   1.04995941994e-12   1.87943567379e-12
8.63088301623   2.77965883125e-12   1.01952803178e-12   1.89959343151e-12
9.89632091731   2.85362120486e-12   9.86313574881e-13   1.91996738987e-12
11.3472940734   2.93060684716e-12   9.50512888274e-13   1.94055986772e-12
13.0110051871   3.01045298543e-12   9.12293432093e-13   1.96137320876e-12
14.9186453514   3.0930232457e-12   8.71796318033e-13   1.98240978186e-12
17.1059788172   3.17820443391e-12   8.29139528645e-13   2.00367198128e-12
19.6140134979   3.26590343006e-12   7.84421023839e-13   2.02516222695e-12
22.4897697822   3.3560443482e-12   7.37721581331e-13   2.04688296476e-12
25.787162067   3.44856602422e-12   6.89107309494e-13   2.06883666686e-12
29.56800954   3.54341983976e-12   6.3863182397e-13   2.09102583187e-12
33.903195159   3.64056786308e-12   5.86338107388e-13   2.11345298524e-12
38.8739945594   3.73998127458e-12   5.32260084403e-13   2.13612067949e-12
44.5735998013   3.8416390407e-12   4.76423948375e-13   2.15903149454e-12
51.1088665255   3.94552680055e-12   4.18849275363e-13   2.18218803795e-12
58.6023172722   4.05163593236e-12   3.59549958198e-13   2.20559294528e-12
67.1944385219   4.15996277116e-12   2.98534989484e-13   2.22924888032e-12
77.0463145221   4.27050795255e-12   2.35809118384e-13   2.25315853547e-12
88.3426472787   4.38327586174e-12   1.713734022e-13   2.27732463197e-12
101.295219332   4.49827417016e-12   1.05225670386e-13   2.30174992027e-12
