#RA DEC nstar nobs q qerr u uerr p perr angle angleerr p/sp pdeb color         
35.38091 25.34987 11 5 -0.0036 0.00553 -0.00833 0.00657 0.00908 0.00642 -0.98927 0.31423 1.41514 0 65         
35.3573 25.38225 4 4 0.00682 0.00204 -0.00315 0.00221 0.00751 0.00207 -0.21607 0.1451 3.62924 0.00722 65         
35.34303 25.30666 50 1 -0.0065 0.01449 -0.00336 0.01329 0.00732 0.01424 -1.3322 0.92598 0.51366 0 65         
35.33181 25.40962 41 1 0.00374 0.00396 -0.00612 0.00407 0.00717 0.00404 -0.51107 0.27794 1.77563 0 65         
35.30055 25.1819 51 1 -0.00369 0.00387 -0.00597 0.0039 0.00702 0.00389 -1.06213 0.27613 1.80379 0 65         
35.3811 25.40816 0 4 0.00427 0.00212 -0.00526 0.00233 0.00677 0.00225 -0.44445 0.16289 3.00853 0.00639 65         
35.39892 25.41662 30 1 0.00625 0.00975 0.00257 0.01408 0.00676 0.01049 0.19501 1.00156 0.6443 0 65         
35.3714 25.25276 17 5 -0.00559 0.01388 -0.00369 0.01599 0.0067 0.01455 -1.27905 1.14721 0.46055 0 65         
35.33194 25.20773 45 1 -0.00111 0.00568 -0.00623 0.00612 0.00633 0.0061 -0.87347 0.44966 1.03661 0 65         
35.294 25.20142 62 1 0.00028 0.00417 -0.00612 0.00403 0.00613 0.00403 -0.76245 0.33996 1.5198 0 65         
35.27971 25.29746 39 1 -0.00059 0.00386 -0.00595 0.00381 0.00598 0.00381 -0.83473 0.3226 1.56893 0 65         
35.33751 25.286 46 1 0.00419 0.00355 -0.00401 0.00365 0.0058 0.0036 -0.38168 0.31045 1.61254 0 65         
35.36527 25.18612 52 1 0.0045 0.00623 0.00178 0.00702 0.00484 0.00634 0.18826 0.71512 0.76288 0 65         
35.36137 25.28774 19 4 0.00086 0.00581 -0.00466 0.00608 0.00474 0.00607 -0.6941 0.61372 0.78084 0 65         
35.37476 25.38307 5 4 0.00097 0.00395 -0.00449 0.00427 0.0046 0.00426 -0.67921 0.43107 1.07983 0 65         
35.19435 25.32501 43 1 0.00419 0.05694 0.00084 0.02363 0.00427 0.05602 0.09887 3.00977 0.0763 0 65         
35.45194 25.42434 28 1 0.00016 0.00416 -0.00411 0.00536 0.00411 0.00536 -0.76582 0.506 0.76747 0 65         
35.36944 25.2378 24 5 0.00314 0.00203 0.00258 0.00225 0.00407 0.00212 0.34397 0.26629 1.91698 0 65         
#35.24784 25.40393 57 1 -0.00033 0.00447 -0.00386 0.00401 0.00387 0.00401 -0.8279 0.57707 0.96639 0 65         
35.45053 25.24931 65 1 0.0027 0.00634 -0.00248 0.01122 0.00367 0.00891 -0.37141 1.26905 0.41168 0 65         
35.3783 25.37512 7 4 0.00327 0.00339 0.00128 0.00382 0.00351 0.00345 0.18648 0.5351 1.01975 0 65         
35.3596 25.19953 20 4 0.00345 0.00234 -0.00052 0.00259 0.00349 0.00235 -0.0746 0.37012 1.48373 0 65         
35.20888 25.38162 6 2 -0.00243 0.03123 -0.00084 0.01635 0.00257 0.03 -1.40424 3.60694 0.08559 0 65,,,,,,,,,
35.37846,25.32562,14,3,-0.00169,0.01011,0.0015,0.01158,0.00226,0.01078,1.20811,2.42746,0.20933,0,65,,,,,,,,,
