#_RAJ2000,_DEJ2000,DE2000,RA2000,HD,Pol,e_Pol,PA,e_PA,GLON,GLAT,PolRefs
134.17451,-85.6632,-85 39 47.5,08 56 41.885,79837.0,0.04,0.035,107.3,23.6,298.8505,-24.8156,0000000000001000000000
24.36575,-84.7696,-84 46 10.6,01 37 27.779,11025.0,0.03,0.035,48.0,30.3,301.6999,-32.2481,0000000000001000000000
323.47696,-82.683,-82 40 58.8,21 33 54.472,203532.0,1.29,0.035,129.1,0.8,309.459,-31.7396,0000000000001000000000
74.71245,-82.4705,-82 28 13.8,04 58 50.988,34172.0,0.14,0.035,145.0,7.1,295.2281,-30.4686,0000000000001000000000
157.96564,-81.9211,-81 55 16.0,10 31 51.751,92029.0,0.55,0.035,142.8,1.8,298.0108,-20.4182,0000000000001000000000
161.4464,-80.5402,-80 32 24.7,10 45 47.135,93845.0,0.08,0.035,68.1,12.3,297.7351,-18.9624,0000000000001000000000
215.59665,-80.1089,-80 06 32.0,14 22 23.196,124771.0,0.67,0.035,111.6,1.5,306.9338,-17.9513,0000000000001000000000
160.4649,-79.7833,-79 46 59.9,10 41 51.576,93237.0,0.74,0.035,137.2,1.4,297.1847,-18.3887,0000000000001000000000
37.91716,-79.1092,-79 06 33.1,02 31 40.120,16522.0,0.012,0.008,152.7,18.4,297.1907,-36.8768,0000000100000000000000
83.90055,-78.8208,-78 49 14.9,05 35 36.132,38602.0,0.34,0.035,150.3,2.9,290.6802,-30.2246,0000000000001000000000
338.85983,-78.7715,-78 46 17.4,22 35 26.362,213402.0,0.13,0.035,146.9,7.7,310.6889,-36.2229,0000000000001000000000
234.82758,-77.9176,-77 55 03.4,15 39 18.619,138289.0,0.16,0.035,68.5,6.2,311.3905,-17.901,0000000000001000000000
179.6473,-77.8253,-77 49 31.1,11 58 35.353,104036.0,0.009,0.004,90.7,11.0,300.0683,-15.2485,0010000000000000000000
16.38036,-77.5846,-77 35 04.6,01 05 31.286,6783.0,0.35,0.035,112.0,2.9,301.9512,-39.5168,0000000000001000000000
6.41334,-77.255,-77 15 18.0,00 25 39.202,2151.0,0.05,0.035,145.9,19.3,304.7788,-39.7806,0000000000001000000000
175.38548,-77.0546,-77 03 16.6,11 41 32.514,101727.0,0.015,0.026,140.3,41.8,298.9437,-14.7273,0010000000000000000000
71.52831,-77.022,-77 01 19.2,04 46 06.794,31378.0,0.038,0.024,94.5,17.5,289.6716,-33.2481,0000000000100000000000
1.80199,-76.7307,-76 43 50.5,00 07 12.479,276.0,0.025,0.014,117.1,15.6,306.2318,-40.1128,0000000000100000000000
5.81545,-76.7244,-76 43 27.8,00 23 15.709,2002.0,0.078,0.006,33.8,2.2,305.0475,-40.2878,0000000000100000000000
138.0511,-76.6629,-76 39 46.4,09 12 12.265,80194.0,0.04,0.035,62.1,23.6,291.4321,-18.9878,0000000000001000000000
75.48627,-76.6264,-76 37 35.0,05 01 56.705,33563.0,0.023,0.016,100.9,19.2,288.8257,-32.5657,0000000000100000000000
59.30175,-76.5115,-76 30 41.4,03 57 12.420,25797.0,0.035,0.019,133.1,15.2,290.8866,-35.9057,0000000000100000000000
71.01504,-76.3067,-76 18 24.1,04 44 03.610,31081.0,0.02,0.011,112.5,15.4,288.9519,-33.6544,0000000000100000000000
174.31642,-75.8965,-75 53 47.4,11 37 15.942,101132.0,0.015,0.008,167.6,15.4,298.3573,-13.6878,0010000000000000000000
10.33829,-75.8134,-75 48 48.2,00 41 21.188,4040.0,0.297,0.017,83.3,1.6,303.7541,-41.2987,0000000000100000000000
65.31042,-75.7285,-75 43 42.6,04 21 14.501,28457.0,0.97,0.041,34.8,1.2,289.1035,-35.1431,0000000000100000000000
319.5675,-75.3466,-75 20 47.8,21 18 16.200,201906.0,0.08,0.035,169.3,12.3,317.2932,-35.1506,0000000000001000000000
64.06083,-75.3447,-75 20 40.9,04 16 14.599,27883.0,0.608,0.008,35.4,0.4,288.8963,-35.6079,0000000000100000000000
4.56909,-75.2202,-75 13 12.7,00 18 16.582,1484.0,0.014,0.017,24.7,31.3,305.7568,-41.7256,0000000000100000000000
176.64566,-75.1103,-75 06 37.1,11 46 34.957,102402.0,0.035,0.047,142.0,33.7,298.7129,-12.7724,0010000000000000000000
12.14632,-74.9233,-74 55 23.9,00 48 35.118,4815.0,0.09,0.035,136.2,11.0,303.1823,-42.2035,0000000000001000000000
5.25645,-74.8798,-74 52 47.3,00 21 01.548,1775.0,0.053,0.013,175.7,7.0,305.5975,-42.0907,0000000000100000000000
92.55918,-74.7525,-74 45 09.0,06 10 14.203,43834.0,0.04,0.035,22.3,23.6,285.7576,-28.8019,0000000000001000000000
57.0456,-74.6945,-74 41 40.2,03 48 10.944,24636.0,0.052,0.016,99.2,8.7,289.5292,-37.4646,0000000000100000000000
178.3417,-74.5395,-74 32 22.2,11 53 22.009,103306.0,0.23,0.052,138.5,6.5,299.013,-12.1114,0010000000000000000000
259.14874,-74.5328,-74 31 58.1,17 16 35.699,154972.0,0.1,0.035,75.5,9.9,318.0048,-20.1225,0000000000001000000000
11.02722,-74.2649,-74 15 53.6,00 44 06.533,4309.0,0.012,0.018,88.8,36.9,303.6096,-42.8536,0000000000100000000000
9.58028,-73.9612,-73 57 40.3,00 38 19.266,3689.0,0.04,0.011,118.2,7.8,304.1728,-43.1354,0000000000100000000000
58.89747,-73.9494,-73 56 57.8,03 55 35.393,25423.0,1.054,0.02,46.8,0.5,288.4002,-37.519,0000000000100000000000
13.42275,-73.8692,-73 52 09.1,00 53 41.460,5370.0,0.008,0.005,144.2,17.4,302.717,-43.2581,0000000000100000000000
73.85382,-73.7621,-73 45 43.6,04 55 24.917,32385.0,0.043,0.024,177.3,15.6,285.7858,-33.9498,0000000000100000000000
10.00152,-73.7617,-73 45 42.1,00 40 00.365,3880.0,0.018,0.007,73.8,11.0,304.0304,-43.3421,0000000000100000000000
58.99747,-73.5556,-73 33 20.2,03 55 59.394,25450.0,0.425,0.042,15.8,2.8,287.9769,-37.7276,0000000000100000000000
70.40103,-73.5311,-73 31 52.0,04 41 36.247,30580.0,0.247,0.013,175.6,1.5,285.9664,-34.9377,0000000000100000000000
235.089,-73.4466,-73 26 47.8,15 40 21.360,138800.0,0.51,0.035,65.6,2.0,314.3363,-14.438,0000000000001000000000
232.87842,-73.3895,-73 23 22.2,15 31 30.821,137387.0,0.93,0.035,122.0,1.1,313.8531,-14.0115,0000000000001000000000
174.16125,-73.3536,-73 21 13.0,11 36 38.704,101011.0,0.076,0.047,135.9,17.0,297.5589,-11.267,0010000000000000000000
61.43107,-73.2818,-73 16 54.5,04 05 43.458,26594.0,0.786,0.023,41.1,0.8,287.1978,-37.3089,0000000000100000000000
9.6694,-73.1376,-73 08 15.4,00 38 40.657,3719.0,0.09,0.035,113.5,11.0,304.2168,-43.9588,0000000000001000000000
14.19835,-73.0679,-73 04 04.4,00 56 47.605,5688.0,0.245,0.025,48.5,2.9,302.3893,-44.0547,0000000000100000000000
63.27571,-72.821,-72 49 15.6,04 13 06.172,27415.0,0.019,0.009,152.3,13.3,286.3503,-37.095,0000000000100000000000
73.36747,-72.7647,-72 45 52.9,04 53 28.194,32035.0,0.047,0.011,141.1,6.7,284.7122,-34.4251,0000000000100000000000
68.64399,-72.7343,-72 44 03.5,04 34 34.558,29769.0,0.048,0.012,146.3,7.1,285.3335,-35.7302,0000000000100000000000
188.81892,-72.7168,-72 43 00.5,12 35 16.541,109399.0,2.19,0.1,111.0,1.3,301.7144,-9.8834,0000000000000100000000
195.30777,-72.6298,-72 37 47.3,13 01 13.865,112843.0,1.0,0.1,110.1,2.9,303.6734,-9.7722,0000000000000100000000
136.28679,-72.6026,-72 36 09.4,09 05 08.830,78791.0,0.06,0.035,9.1,16.3,287.825,-16.7702,0000000000001000000000
317.83694,-72.5442,-72 32 39.1,21 11 20.868,200924.0,0.17,0.035,93.5,5.9,320.6224,-36.0171,0000000000001000000000
172.07692,-72.4739,-72 28 26.0,11 28 18.462,99872.0,3.03,0.035,117.6,0.3,296.6909,-10.6171,0000000000001000000000
75.14044,-72.4561,-72 27 22.0,05 00 33.707,33032.0,0.119,0.01,4.9,2.4,284.15,-34.0252,0000000000100000000000
241.48283,-72.401,-72 24 03.6,16 05 55.882,143346.0,0.08,0.035,58.8,12.3,316.5088,-14.8787,0000000000001000000000
358.20087,-72.3997,-72 23 58.9,23 52 48.212,223777.0,0.026,0.015,174.6,16.1,309.0409,-44.0264,0000000000100000000000
0.18888,-72.3187,-72 19 07.3,00 00 45.331,224790.0,0.038,0.009,168.3,6.8,308.2711,-44.2803,0000000000100000000000
171.04657,-72.2566,-72 15 23.8,11 24 11.178,99264.0,2.36,0.035,120.4,0.4,296.3183,-10.5145,0000000000001000000000
46.44735,-72.2133,-72 12 47.9,03 05 47.364,19782.0,0.2,0.096,50.6,13.5,289.922,-41.3506,0000000000001000000000
188.11713,-72.1329,-72 07 58.4,12 32 28.111,109026.0,0.04,0.035,163.3,23.6,301.459,-9.3155,0000000000001000000000
170.01735,-71.9943,-71 59 39.5,11 20 04.164,98695.0,1.9,0.035,117.4,0.5,295.925,-10.3768,0000000000001000000000
32.44975,-71.8268,-71 49 36.5,02 09 47.941,13698.0,0.26,0.11,94.6,11.9,294.5719,-44.0072,0000000000001000000000
192.37788,-71.7314,-71 43 53.0,12 49 30.691,111290.0,1.58,0.1,106.5,1.8,302.7792,-8.8603,0000000000000100000000
189.8299,-71.6217,-71 37 18.1,12 39 19.177,109885.0,3.62,0.1,109.3,0.8,301.9659,-8.7728,0000000000000100000000
195.77232,-71.4757,-71 28 32.5,13 03 05.360,113120.0,1.176,0.151,115.0,3.7,303.8676,-8.6251,0000000000000100000001
1.17189,-71.4368,-71 26 12.5,00 04 41.254,225253.0,0.03,0.1,137.0,59.0,308.1841,-45.2116,0000000000000000000001
149.04066,-71.3893,-71 23 21.5,09 56 09.762,86606.0,0.81,0.035,152.5,1.2,289.8175,-13.1325,0000000000001000000000
326.37,-71.0088,-71 00 31.7,21 45 28.804,206399.0,0.07,0.035,8.5,14.0,320.6351,-39.0919,0000000000001000000000
248.5807,-70.988,-70 59 16.8,16 34 19.369,148488.0,0.48,0.035,49.2,2.1,319.1556,-15.5345,0000000000001000000000
166.70802,-70.8779,-70 52 40.4,11 06 49.928,96706.0,1.37,0.035,121.6,0.7,294.5084,-9.7369,0000000000001000000000
185.151,-70.8775,-70 52 39.0,12 20 36.240,0.0,2.52,0.1,102.9,1.1,300.3878,-8.1582,0000000000000100000000
82.287,-70.8255,-70 49 31.8,05 29 08.880,37027.0,0.3,0.046,30.0,4.4,281.6144,-32.2357,0000000000001000000000
197.71962,-70.8086,-70 48 31.0,13 10 52.709,114200.0,1.4,0.1,91.5,2.0,304.5436,-7.9977,0000000000000100000000
205.00246,-70.7877,-70 47 15.7,13 40 00.592,118522.0,2.96,0.035,100.1,0.3,306.9432,-8.2953,0000000000001000000000
136.40993,-70.5385,-70 32 18.6,09 05 38.382,78764.0,0.283,0.036,124.5,3.6,286.1908,-15.4295,0000000000001000000001
336.2933,-70.4314,-70 25 53.0,22 25 10.391,212211.0,0.11,0.035,108.2,9.0,318.5058,-41.9947,0000000000001000000000
177.48595,-70.2257,-70 13 32.5,11 49 56.626,102839.0,1.44,0.035,117.6,0.7,297.7357,-7.9769,0000000000001000000000
195.142,-70.2099,-70 12 35.6,13 00 34.081,0.0,0.88,0.1,96.7,3.3,303.711,-7.352,0000000000000100000000
170.98506,-70.1338,-70 08 01.7,11 23 56.414,99205.0,2.1,0.1,123.1,1.4,295.5766,-8.5217,0000000000000100000000
318.33517,-70.1262,-70 07 34.3,21 13 20.438,201371.0,0.26,0.035,6.5,3.9,323.2663,-37.1868,0000000000001000000000
260.5245,-70.1231,-70 07 23.2,17 22 05.880,156190.0,0.45,0.035,30.7,2.2,322.2751,-18.29,0000000000001000000000
247.11583,-70.0846,-70 05 04.6,16 28 27.800,147584.0,0.04,0.035,29.4,23.6,319.5303,-14.5736,0000000000001000000000
212.31274,-69.6481,-69 38 53.2,14 09 15.059,123189.0,0.31,0.1,135.8,9.2,309.6456,-7.797,0000000000000100000000
192.7999,-69.6452,-69 38 42.7,12 51 11.977,111558.0,1.1,0.1,92.5,2.6,302.9111,-6.7735,0000000000000100000000
327.69678,-69.6294,-69 37 45.8,21 50 47.227,207241.0,0.12,0.035,103.0,8.3,321.7962,-40.2335,0000000000001000000000
5.16268,-69.6249,-69 37 29.6,00 20 39.044,1685.0,0.034,0.0,98.7,0.0,306.8721,-47.2671,0000000000101000000000
13.75125,-69.5269,-69 31 36.8,00 55 00.300,5457.0,0.021,0.039,14.5,42.9,302.4693,-47.5981,0000000100001000000000
322.1866,-69.5052,-69 30 18.7,21 28 44.789,203881.0,0.1,0.035,112.0,9.9,323.2237,-38.6529,0000000000001000000000
174.387,-69.3267,-69 19 36.1,11 37 32.880,0.0,3.63,0.1,120.5,0.8,296.4554,-7.3893,0000000000000100000000
149.24931,-69.1018,-69 06 06.5,09 56 59.838,86659.0,0.65,0.035,125.4,1.5,288.4005,-11.3105,0000000000001000000000
219.7125,-69.0175,-69 01 03.0,14 38 51.000,0.0,1.13,0.1,86.9,2.5,312.3357,-8.1302,0000000000000100000000
346.2173,-68.8203,-68 49 13.1,23 04 52.147,217831.0,0.03,0.035,56.4,30.3,316.2832,-45.446,0000000000001000000000
166.54843,-68.7819,-68 46 54.8,11 06 11.624,96569.0,0.6,0.07,121.9,3.3,293.613,-7.836,0000000001000000000000
135.28535,-68.6839,-68 41 02.0,09 01 08.486,77887.0,0.34,0.035,138.6,2.9,284.4497,-14.5553,0000000000001000000000
152.37582,-68.6828,-68 40 58.1,10 09 30.200,88473.0,0.41,0.06,148.8,4.2,289.0527,-10.2944,0000000001000000000000
35.43759,-68.6594,-68 39 33.8,02 21 45.022,15008.0,0.009,0.005,140.4,15.5,291.2497,-46.3668,0000000100000000000000
238.87338,-68.6029,-68 36 10.4,15 55 29.615,141767.0,0.51,0.035,53.0,2.0,318.4688,-11.4821,0000000000001000000000
287.46924,-68.4243,-68 25 27.5,19 09 52.621,177389.0,0.03,0.035,123.9,30.3,327.1697,-26.7654,0000000000001000000000
185.55016,-68.3071,-68 18 25.6,12 22 12.036,107567.0,0.14,0.035,129.1,7.1,300.2237,-5.5893,0000000000001000000000
250.34637,-68.296,-68 17 45.6,16 41 23.129,149671.0,0.57,0.035,47.6,1.8,321.7038,-14.2856,0000000000001000000000
315.3668,-68.2096,-68 12 34.6,21 01 28.031,199475.0,0.04,0.035,23.1,23.6,325.9899,-36.9379,0000000000001000000000
216.27641,-68.1953,-68 11 43.1,14 25 06.341,125835.0,2.65,0.035,57.7,0.4,311.4832,-6.8926,0000000000001000000000
76.27771,-68.0864,-68 05 11.0,05 05 06.652,33486.0,0.33,0.042,29.0,3.6,278.9291,-34.8665,0000000000001000000000
172.96124,-68.0579,-68 03 28.4,11 31 50.696,100324.0,4.26,0.1,136.3,0.7,295.5803,-6.3295,0000000000000100000000
109.20763,-67.9571,-67 57 25.6,07 16 49.832,57623.0,0.38,0.035,9.6,2.6,279.0857,-22.6885,0000000000001000000000
198.81248,-67.8945,-67 53 40.2,13 15 14.998,114911.0,0.08,0.035,89.7,12.3,305.1777,-5.1267,0000000000001000000000
1.32446,-67.8312,-67 49 52.3,00 05 17.869,55.0,0.163,0.037,105.9,6.5,309.4971,-48.7047,0000000100000000000000
130.11903,-67.8203,-67 49 13.1,08 40 28.567,74541.0,0.22,0.06,122.9,7.8,282.5447,-15.5664,0000000001000000000000
260.49805,-67.7706,-67 46 14.2,17 21 59.533,156277.0,0.02,0.035,107.5,41.2,324.4038,-17.0975,0000000000001000000000
217.81827,-67.717,-67 43 01.2,14 31 16.385,126862.0,0.04,0.035,36.1,23.6,312.2021,-6.6602,0000000000001000000000
340.20013,-67.6884,-67 41 18.2,22 40 48.032,214539.0,0.31,0.035,138.4,3.2,319.7541,-44.9349,0000000000001000000000
208.70473,-67.652,-67 39 07.2,13 54 49.136,120913.0,1.46,0.035,80.8,0.7,308.9189,-5.52,0000000000001000000000
190.128,-67.4911,-67 29 28.0,12 40 30.720,0.0,1.68,0.1,82.8,1.7,301.8832,-4.6416,0000000000000100000000
230.169,-67.4815,-67 28 53.4,15 20 40.560,135737.0,0.84,0.035,57.1,1.2,316.5114,-8.6337,0000000000001000000000
17.59294,-67.4463,-67 26 46.7,01 10 22.307,0.0,0.008,0.082,66.2,79.0,300.1339,-49.5789,0000000100000000000000
189.71819,-67.193,-67 11 34.8,12 38 52.364,109867.0,0.802,0.116,111.9,4.1,301.7113,-4.3511,0000000000001100000000
227.37466,-67.0841,-67 05 02.8,15 09 29.920,133683.0,0.74,0.035,55.1,1.4,315.7969,-7.727,0000000000001000000000
157.53671,-66.9846,-66 59 04.6,10 30 08.813,91272.0,0.7,0.035,124.7,1.4,289.7427,-7.8037,0000000000001000000000
300.09628,-66.9488,-66 56 55.7,20 00 23.105,188584.0,0.09,0.035,58.9,11.0,328.9532,-31.5228,0000000000001000000000
349.3344,-66.9182,-66 55 05.5,23 17 20.260,219509.0,0.047,0.13,87.3,54.1,316.3716,-47.6799,0000000100000000000000
87.47315,-66.9012,-66 54 04.3,05 49 53.555,39844.0,0.03,0.035,76.6,30.3,276.8042,-30.8016,0000000000001000000000
189.7054,-66.87,-66 52 12.0,12 38 49.297,0.0,2.53,0.1,113.4,1.1,301.6905,-4.0287,0000000000000100000000
218.961,-66.8528,-66 51 10.1,14 35 50.640,0.0,2.09,0.1,66.2,1.4,312.9472,-6.0333,0000000000000100000000
310.48776,-66.7606,-66 45 38.2,20 41 57.062,196519.0,0.08,0.035,17.7,12.3,328.3885,-35.5797,0000000000001000000000
294.96722,-66.6854,-66 41 07.4,19 39 52.132,184586.0,0.03,0.035,6.4,30.3,329.3347,-29.5138,0000000000001000000000
222.18567,-66.5935,-66 35 36.6,14 48 44.561,129954.0,1.06,0.035,70.3,0.9,314.221,-6.3281,0000000000001000000000
234.903,-66.5313,-66 31 52.7,15 39 36.720,0.0,0.34,0.1,40.7,8.4,318.5944,-8.9195,0000000000000100000000
208.32558,-66.5124,-66 30 44.6,13 53 18.139,120680.0,1.83,0.1,69.7,1.6,309.0509,-4.3784,0000000000000100000000
52.71534,-66.4897,-66 29 22.9,03 30 51.682,22252.0,0.42,0.035,8.2,2.4,282.2297,-43.6833,0000000000001000000000
172.11336,-66.4892,-66 29 21.1,11 28 27.206,99857.0,0.59,0.1,101.6,4.8,294.7779,-4.9402,0000000000000100000000
4.44608,-66.3588,-66 21 31.7,00 17 47.058,1397.0,0.032,0.023,88.2,19.8,308.2158,-50.4227,0000000100000000000000
302.08533,-66.3546,-66 21 16.6,20 08 20.479,190222.0,0.77,0.035,174.1,1.3,329.5686,-32.3605,0000000000001000000000
176.9745,-66.2611,-66 15 40.0,11 47 53.880,0.0,0.89,0.1,91.6,3.2,296.589,-4.175,0000000000000100000000
357.38162,-66.2574,-66 15 26.6,23 49 31.591,223400.0,0.045,0.015,88.0,9.5,312.4955,-49.7055,0000000100000000000000
302.1744,-66.1793,-66 10 45.5,20 08 41.860,190248.0,0.03,0.035,162.3,30.3,329.7709,-32.4139,0000000000001000000000
216.41583,-66.1728,-66 10 22.1,14 25 39.803,125990.0,0.1,0.035,104.4,9.9,312.2592,-5.0224,0000000000001000000000
239.121,-66.1643,-66 09 51.5,15 56 29.040,0.0,0.64,0.1,23.5,4.5,320.1619,-9.6969,0000000000000100000000
215.12675,-66.1203,-66 07 13.1,14 20 30.422,125159.0,1.12,0.1,62.3,2.6,311.787,-4.7918,0000000000000100000000
145.277,-66.0803,-66 04 49.1,09 41 06.479,84261.0,0.09,0.035,160.3,11.0,285.238,-9.9865,0000000000001000000000
248.674,-66.014,-66 00 50.4,16 34 41.761,148740.0,1.12,0.035,37.4,0.9,323.0649,-12.3174,0000000000001000000000
223.67746,-65.991,-65 59 27.6,14 54 42.592,131058.0,1.16,0.035,70.5,0.9,315.0321,-6.0587,0000000000001000000000
228.30066,-65.9691,-65 58 08.8,15 13 12.158,134401.0,0.62,0.1,13.4,4.6,316.6941,-6.9607,0000000000000100000000
168.57513,-65.8912,-65 53 28.3,11 14 18.031,97851.0,0.97,0.1,104.3,3.0,293.2257,-4.867,0000000000000100000000
174.28839,-65.8025,-65 48 09.0,11 37 09.214,310774.0,0.79,0.1,95.1,3.6,295.4126,-4.0212,0000000000000100000000
186.32343,-65.7696,-65 46 10.6,12 25 17.623,108054.0,0.11,0.03,12.0,7.8,300.2506,-3.0341,0000900000000000000000
172.79556,-65.7422,-65 44 31.9,11 31 10.934,100213.0,1.01,0.1,74.1,2.8,294.8079,-4.1443,0000000000000100000000
213.66528,-65.7013,-65 42 04.7,14 14 39.667,124197.0,0.96,0.1,65.2,3.0,311.3594,-4.2006,0000000000000100000000
11.16268,-65.6477,-65 38 51.7,00 44 39.044,4308.0,0.011,0.014,31.6,32.5,304.0548,-51.4657,0000000100000000000000
185.136,-65.6441,-65 38 38.8,12 20 32.640,0.0,0.73,0.1,88.7,3.9,299.7505,-2.9634,0000000000000100000000
191.4339,-65.6232,-65 37 23.5,12 45 44.136,0.0,1.07,0.1,78.1,2.7,302.343,-2.758,0000000000000100000000
234.07405,-65.6131,-65 36 47.2,15 36 17.773,138498.0,0.08,0.035,117.5,12.3,318.8767,-7.9825,0000000000001000000000
185.1615,-65.6108,-65 36 38.9,12 20 38.760,0.0,0.78,0.1,96.3,3.7,299.757,-2.929,0000000000000100000000
185.58255,-65.6083,-65 36 29.9,12 22 19.812,107593.0,0.87,0.1,99.5,3.3,299.9297,-2.9064,0000000000000100000000
297.75455,-65.6047,-65 36 16.9,19 51 01.094,186786.0,0.05,0.035,34.9,19.3,330.5748,-30.648,0000000000001000000000
359.9788,-65.577,-65 34 37.2,23 59 54.910,224686.0,0.08,0.2,86.0,51.3,311.3004,-50.7058,0000000000000000010000
181.47345,-65.5468,-65 32 48.5,12 05 53.628,105071.0,1.782,0.137,103.2,2.2,298.2376,-3.0911,0000000000001100000000
150.38551,-65.5262,-65 31 34.3,10 01 32.524,0.0,0.76,0.1,126.2,3.8,286.5135,-8.2253,0000000000000100000000
233.0175,-65.5217,-65 31 18.1,15 32 04.200,0.0,1.24,0.1,58.3,2.3,318.5732,-7.6525,0000000000000100000000
227.4775,-65.5062,-65 30 22.3,15 09 54.601,133823.0,1.62,0.1,55.6,1.8,316.6418,-6.3898,0000000000000100000000
202.47739,-65.5019,-65 30 06.8,13 29 54.575,117111.0,0.887,0.145,78.0,4.7,306.9098,-2.9278,0000000000000100100000
248.93655,-65.4953,-65 29 43.1,16 35 44.772,148890.0,0.05,0.035,128.7,19.3,323.5376,-12.0582,0000000000001000000000
10.6179,-65.4681,-65 28 05.2,00 42 28.296,4089.0,0.008,0.007,112.8,23.6,304.4311,-51.634,0000000100000000000000
185.6793,-65.4356,-65 26 08.2,12 22 43.036,107667.0,0.66,0.1,94.8,4.3,299.9502,-2.7303,0000000000000100000000
174.87347,-65.3977,-65 23 51.7,11 39 29.632,101379.0,0.8,0.03,136.2,1.1,295.5316,-3.5649,0000000001000000000000
185.43665,-65.3602,-65 21 36.7,12 21 44.795,0.0,0.49,0.1,98.0,5.8,299.8411,-2.6669,0000000000000100000000
153.495,-65.3315,-65 19 53.4,10 13 58.800,0.0,1.33,0.1,138.1,2.2,287.4531,-7.3072,0000000000000100000000
158.62032,-65.3298,-65 19 47.3,10 34 28.877,91839.0,0.4,0.05,119.6,3.6,289.2691,-6.1578,0000000001000000000000
197.02983,-65.306,-65 18 21.6,13 08 07.159,113904.0,1.43,0.1,82.0,2.0,304.6746,-2.4907,0000000000000000000001
197.54407,-65.2646,-65 15 52.6,13 10 10.578,114169.0,1.35,0.1,86.7,2.1,304.8922,-2.4643,0000000000000100000000
159.8805,-65.244,-65 14 38.4,10 39 31.320,0.0,1.38,0.1,112.7,2.1,289.6865,-5.8222,0000000000000100000000
165.32236,-65.224,-65 13 26.4,11 01 17.368,0.0,0.8,0.1,171.8,3.6,291.721,-4.7781,0000000000000100000000
168.06769,-65.2189,-65 13 08.0,11 12 16.247,97522.0,0.9,0.1,115.5,3.2,292.78,-4.3204,0000000000000100000000
186.23318,-65.211,-65 12 39.6,12 24 55.966,108002.0,0.83,0.1,96.2,3.4,300.1562,-2.4822,0000000000000100000000
217.293,-65.2076,-65 12 27.4,14 29 10.320,0.0,1.68,0.1,68.7,1.7,312.9484,-4.2541,0000000000000100000000
160.70174,-65.1953,-65 11 43.1,10 42 48.416,93012.0,1.34,0.07,98.6,1.5,289.9662,-5.6139,0000000001000000000000
184.008,-65.1926,-65 11 33.4,12 16 01.920,106616.0,1.08,0.1,96.2,2.7,299.2266,-2.5759,0000000000000100000000
203.46817,-65.1792,-65 10 45.1,13 33 52.362,117707.0,2.193,0.067,60.2,0.9,307.3692,-2.6737,0000000000000100100000
157.26529,-65.1763,-65 10 34.7,10 29 03.671,91094.0,0.52,0.06,105.1,3.3,288.7,-6.3166,0000000001000000000000
9.15664,-65.1244,-65 07 27.8,00 36 37.595,3444.0,0.058,0.017,115.8,8.3,305.457,-51.9312,0000000000101000000000
343.58963,-65.0814,-65 04 53.0,22 54 21.510,216436.0,0.093,0.052,16.7,15.6,320.7856,-47.7859,0000000100000000000000
146.77557,-65.072,-65 04 19.2,09 47 06.137,85123.0,0.43,0.035,50.9,2.3,285.0385,-8.8196,0000000000001000000000
196.6515,-65.0677,-65 04 03.7,13 06 36.360,0.0,1.57,0.1,92.0,1.8,304.5308,-2.2431,0000000000000100000000
191.7522,-65.0418,-65 02 30.5,12 47 00.528,111003.0,2.24,0.1,75.6,1.3,302.4644,-2.1741,0000000000000100000000
159.7605,-64.9749,-64 58 29.6,10 39 02.520,92478.0,0.16,0.04,176.9,7.1,289.5104,-5.612,0000000001000000000000
220.62785,-64.9745,-64 58 28.2,14 42 30.686,128898.0,0.03,0.035,103.8,30.3,314.3356,-4.5914,0000000000001000000000
144.02179,-64.9503,-64 57 01.1,09 36 05.231,83523.0,0.01,0.04,125.0,63.4,284.0759,-9.5013,0000000001000000000000
172.12672,-64.8871,-64 53 13.6,11 28 30.414,99856.0,0.34,0.1,98.3,8.4,294.2755,-3.4185,0000000000000100000000
5.00797,-64.8776,-64 52 39.4,00 20 01.914,1581.0,0.006,0.006,37.5,26.6,308.3276,-51.9204,0000000100001000000000
216.7575,-64.8758,-64 52 32.9,14 27 01.800,0.0,1.45,0.1,39.3,2.0,312.859,-3.8627,0000000000000100000000
198.3195,-64.8647,-64 51 52.9,13 13 16.680,0.0,0.94,0.1,84.4,3.0,305.2498,-2.0913,0000000000000100000000
166.60133,-64.8399,-64 50 23.6,11 06 24.318,96568.0,0.77,0.08,139.8,3.0,292.0608,-4.2087,0000000001000000000000
219.228,-64.8353,-64 50 07.1,14 36 54.720,0.0,1.1,0.1,63.6,2.6,313.8482,-4.223,0000000000000100000000
220.07326,-64.8334,-64 50 00.2,14 40 17.580,128522.0,2.99,0.1,50.0,1.0,314.1789,-4.3659,0000000000000100000000
219.29208,-64.8013,-64 48 04.7,14 37 10.099,0.0,1.96,0.1,18.4,1.5,313.8868,-4.2026,0000000000000100000000
18.66766,-64.7634,-64 45 48.2,01 14 40.240,7621.0,0.02,0.042,166.8,46.4,298.8966,-52.1824,0000000100000000000000
327.50055,-64.7124,-64 42 44.6,21 50 00.132,207229.0,0.03,0.035,84.6,30.3,327.4022,-42.7984,0000000000001000000000
161.39159,-64.7038,-64 42 13.7,10 45 33.980,93424.0,0.34,0.04,149.8,3.4,289.9923,-5.0427,0000000001000000000000
185.51006,-64.6939,-64 41 38.0,12 22 02.413,107565.0,2.37,0.1,87.9,1.2,299.7956,-2.0013,0000000000000100000000
