#_RAJ2000,_DEJ2000,DE2000,RA2000,HD,Pol,e_Pol,PA,e_PA,GLON,GLAT,PolRefs
231.8256,-36.7675,-36 46 03.0,15 27 18.144,137432.0,0.09,0.035,90.9,11.0,334.5985,16.343,0000000000001000000000
131.85475,-36.7507,-36 45 02.5,08 47 25.141,75222.0,1.42,0.096,123.6,1.9,258.2893,4.1769,0000000000000100000001
285.4185,-36.7441,-36 44 38.8,19 01 40.440,0.0,0.84,0.0,98.0,0.0,0.121,-17.736,0000010000000000000000
109.65913,-36.7427,-36 44 33.7,07 18 38.192,57219.0,0.12,0.035,31.5,8.3,248.8172,-10.8559,0000000000001000000000
256.42896,-36.7405,-36 44 25.8,17 05 42.954,154218.0,2.24,0.1,15.6,1.3,348.847,2.5611,0000000000000100000000
109.57666,-36.7339,-36 44 02.0,07 18 18.400,57150.0,0.7,0.035,86.7,1.4,248.7798,-10.9116,0000000000001000000000
186.98764,-36.7071,-36 42 25.6,12 27 57.035,108481.0,0.23,0.035,143.4,4.4,297.6997,25.9259,0000000000001000000000
285.243,-36.6974,-36 41 50.6,19 00 58.320,0.0,2.32,0.0,148.0,0.0,0.1137,-17.588,0000010000000000000000
272.34375,-36.6725,-36 40 21.0,18 09 22.504,165793.0,0.938,0.178,159.7,5.4,355.7453,-8.1669,0000000000000100010000
285.459,-36.6666,-36 39 59.8,19 01 50.160,0.0,0.94,0.0,73.0,0.0,0.2092,-17.7385,0000010000000000000000
266.52286,-36.6589,-36 39 32.0,17 46 05.484,161249.0,0.81,0.1,1.1,3.5,353.4465,-4.096,0000000000000100000000
126.80047,-36.6538,-36 39 13.7,08 27 12.114,71649.0,0.76,0.1,134.3,3.8,255.7643,1.0042,0000000000000100000000
109.20589,-36.5926,-36 35 33.4,07 16 49.415,56779.0,0.17,0.035,24.0,5.9,248.5186,-11.1181,0000000000001000000000
256.47018,-36.5881,-36 35 17.2,17 05 52.843,154243.0,1.41,0.1,21.5,2.0,348.9886,2.6265,0000000000000100000000
271.4357,-36.5794,-36 34 45.8,18 05 44.570,165063.0,0.7,0.1,147.2,4.1,355.4814,-7.4803,0000000000000100000000
93.1215,-36.5637,-36 33 49.3,06 12 29.160,43071.0,0.07,0.035,138.7,14.0,243.5357,-23.1129,0000000000001000000000
116.47972,-36.4981,-36 29 53.2,07 45 55.134,63150.0,2.01,0.1,136.6,1.4,251.1719,-5.897,0000000000000100000000
125.3377,-36.4841,-36 29 02.8,08 21 21.049,70556.0,0.1,0.035,30.0,9.9,254.9497,0.1409,0000000000001000000000
250.0286,-36.4823,-36 28 56.3,16 40 06.863,150069.0,1.23,0.1,32.7,2.3,345.7971,6.7101,0000000000000100000000
207.9024,-36.433,-36 25 58.8,13 51 36.576,120672.0,0.03,0.035,53.5,30.3,316.2395,24.879,0000000000001000000000
57.65646,-36.4256,-36 25 32.2,03 50 37.550,24305.0,0.013,0.002,5.7,4.4,238.2412,-51.1608,0000000000101000000000
318.3289,-36.4235,-36 25 24.6,21 13 18.937,201852.0,0.06,0.035,154.7,16.3,7.2222,-43.337,0000000000001000000000
151.31367,-36.3843,-36 23 03.5,10 05 15.284,87606.0,0.22,0.035,73.7,4.5,269.301,15.4116,0000000000001000000000
270.45126,-36.3778,-36 22 40.1,18 01 48.302,164245.0,0.72,0.1,143.0,4.0,355.2772,-6.689,0000000000000100000000
270.5411,-36.3592,-36 21 33.1,18 02 09.870,164321.0,0.99,0.1,150.9,2.9,355.3288,-6.7434,0000000000000100000000
110.83167,-36.3401,-36 20 24.4,07 23 19.601,58260.0,0.37,0.1,28.9,7.7,248.873,-9.8329,0000000000000100000000
