#   RA        DEC        GLON        GLAT    Pol   e_Pol  EVPA  e_EVPA  galPA
#  1-  9  F9.5  deg     RAdeg    Right Ascension (J2000) (1)
# 13- 20  F8.5  deg     DEdeg    Declination (J2000) (1)
# 24- 32  F9.5  deg     GLON     Galactic longitude (1)
# 36- 43  F8.5  deg     GLAT     Galactic latitude (1)
# 47- 49  F3.1  %       Pol      [0.5/4.5] Polarization degree percentage (2)
# 53- 55  F3.1  %     e_Pol      [0.2/1.9] Error in polarization degree
# 59- 61  I3    deg     EVPA     [-90/90] Electric vector polarization angle (3)
# 65- 66  I2    deg   e_EVPA     [2/19] Error in EVPA
# 70- 72  I3    deg     galPA    [0/180] Galactic polarization angle (4)
 28.16165   88.37019   123.40863   25.55542   2.1   0.7    21    9     6
 28.29461   88.40844   123.40154   25.59332   0.5   0.2    23   11     8
 28.37938   87.38934   123.70002   24.61071   0.7   0.3   -89    9    75
 28.71553   87.99892   123.53607   25.20203   1.0   0.4   -23   10   140
 28.93017   87.70386   123.63263   24.92012   1.2   0.5    80   13    64
 29.61239   87.43676   123.74474   24.67148   0.7   0.3   -68    9    95
 29.87156   88.79317   123.32466   25.97369   1.0   0.4   -45    9   117
 30.16914   87.63514   123.70727   24.86838   1.3   0.3   -30    7   132
 30.23331   87.58048   123.72770   24.81689   1.3   0.4   -44   11   118
 30.34971   88.64823   123.38328   25.83826   0.6   0.2   -19    8   143
 30.85704   88.18697   123.55198   25.40258   1.0   0.4     1   13   163
 30.98943   88.87728   123.32080   26.06074   0.9   0.3    62    9    44
 31.50226   88.79238   123.36134   25.98335   1.3   0.4   -51    6   110
 31.52907   88.58775   123.43396   25.78943   0.9   0.2    75    5    57
 31.54497   87.90166   123.67437   25.13857   1.6   0.3   -61    4   100
 32.38849   87.41020   123.88444   24.68425   0.8   0.3   -78   10    82
 32.64418   88.12937   123.63256   25.36631   1.0   0.3   -48    9   111
 32.95579   89.53966   123.10897   26.69583   1.2   0.5   -47    7   112
 33.10498   89.48359   123.13185   26.64361   1.1   0.3   -25    7   134
 33.33290   87.64844   123.83868   24.92234   1.1   0.3   -81    7    78
 33.47200   87.81027   123.78286   25.07615   1.2   0.3   -54    5   105
 33.49732   87.70583   123.82376   24.97851   0.9   0.3   -67    9    92
 33.60658   89.48191   123.13726   26.64361   1.1   0.3   -58    6   101
 34.13648   87.35543   123.98757   24.66003   0.7   0.3   -67   11    92
 34.63677   87.79773   123.83384   25.08029   0.8   0.2   -60    6    98
 34.93889   89.12461   123.29901   26.31658   0.7   0.3   -61   10    96
 35.25202   88.82006   123.43216   26.03640   1.4   0.6   -46   11   111
 35.48360   87.71169   123.90309   25.01271   0.8   0.3   -40    8   116
 35.65784   88.79963   123.44949   26.02072   1.1   0.3   -33    7   123
 36.02437   87.74005   123.91302   25.04712   0.8   0.3   -79   10    77
 36.33705   87.73061   123.92963   25.04323   0.9   0.3   -84    8    72
 36.91253   89.01665   123.37871   26.22958   1.0   0.3   -45    8   110
 37.14099   88.07643   123.80725   25.37215   0.5   0.2    18   10   175
 37.54276   87.81225   123.94091   25.13681   1.4   0.2   -87    5    68
 37.91595   89.01341   123.39772   26.23374   1.8   0.7   -38   12   117
 37.98274   89.02662   123.39268   26.24621   1.5   0.4   -55    8    99
 38.01767   87.81896   123.95604   25.15042   1.9   0.3    79    5    54
 39.32211   88.88891   123.48339   26.13250   0.9   0.3   -41    7   112
 39.72625   88.92279   123.47430   26.16628   1.1   0.3   -46    6   106
 39.81721   87.29518   124.28134   24.71093   0.7   0.2    77    9    51
 39.96184   87.61480   124.13065   24.99990   1.8   0.6    51   10    24
 40.78917   88.10439   123.91509   25.45003   0.7   0.3   -25   10   127
 41.95108   87.86839   124.07773   25.26093   0.8   0.3    46   15    17
 42.32393   88.06878   123.98375   25.44291   0.7   0.3   -52    8    98
 42.51229   87.78485   124.14290   25.19803   0.9   0.3    23   10   174
 43.06810   87.84577   124.13025   25.26151   1.3   0.3    34    5     5
 44.75827   89.03086   123.50317   26.30432   1.9   0.5   -34    8   113
 45.06092   87.16610   124.59402   24.72055   0.6   0.2    85   10    54
 45.88368   89.05566   123.50617   26.33531   1.8   0.5   -37    8   109
