# 3FGL name   RA   DEC
3FGL J1512.3+6622     228.087203979 66.3728027344
3FGL J1517.0+2637     229.25340271 26.6305007935
3FGL J1529.5+6733     232.399398804 67.5591964722
3FGL J1541.6+1414     235.402603149 14.234000206
3FGL J1548.4+1455     237.109695435 14.9256000519
3FGL J1550.4+6027     237.623306274 60.4618988037
3FGL J1553.1+5437     238.291900635 54.6241989136
3FGL J1601.9+2306     240.488998413 23.1107997894
3FGL J1611.9+1404     242.980804443 14.0790996552
3FGL J1616.8+5846     244.216003418 58.783000946
3FGL J1618.8+5520     244.704299927 55.345500946
3FGL J1627.8+3217     246.968093872 32.2988014221
3FGL J1632.8+3838     248.202392578 38.6477012634
3FGL J1635.3+4257     248.84979248 42.9645004272
3FGL J1648.0+4230     252.018096924 42.5102005005
3FGL J2054.8-4908     313.724914551 -49.135799408
3FGL J2112.5-3044     318.144714355 -30.7343997955
3FGL J2127.1-5615     321.784301758 -56.2552986145
3FGL J2127.5-6001     321.892700195 -60.0312995911
3FGL J2130.4-4237     322.614807129 -42.6315002441
3FGL J2131.1-6625     322.790893555 -66.4169006348
3FGL J2133.0-6433     323.258605957 -64.5534973145
3FGL J2134.5-2131     323.64630127 -21.5216999054
3FGL J2138.2-4939     324.554412842 -49.6557006836
3FGL J2142.6-2029     325.656402588 -20.4986991882
3FGL J2144.6-5640     326.154510498 -56.679599762
3FGL J2150.5-1754     327.639587402 -17.9106006622
3FGL J2200.0-6930     330.023986816 -69.5036010742
3FGL J2205.9-4704     331.476104736 -47.0812988281
3FGL J2209.8-0450     332.467102051 -4.84980010986
3FGL J2220.6-6833     335.150512695 -68.5544967651
3FGL J2223.3+0103     335.837799072 1.05180001259
3FGL J2224.4+0351     336.101806641 3.85940003395
3FGL J2228.5-1636     337.148590088 -16.6016998291
3FGL J2247.2-0004     341.811889648 -0.0718000009656
3FGL J2249.3-5943     342.347991943 -59.7225990295
3FGL J2253.1-1237     343.296813965 -12.6281003952
3FGL J2258.2-3645     344.561706543 -36.75
3FGL J2259.9-1553     344.996307373 -15.896900177
3FGL J2300.1-3547     345.042602539 -35.7877006531
3FGL J2310.1-0557     347.546295166 -5.95170021057
3FGL J2318.6-3829     349.665802002 -38.4967002869
3FGL J2321.6-1619     350.405090332 -16.3313007355
3FGL J2327.2-4130     351.824798584 -41.5080986023
3FGL J2331.9-1609     352.991912842 -16.156999588
3FGL J2333.0-5525     353.26361084 -55.4264984131
3FGL J2335.6-2342     353.900512695 -23.7131004333
3FGL J2338.7+0251     354.694091797 2.85669994354
3FGL J2343.0-4748     355.763397217 -47.8019981384
3FGL J2344.9-5647     356.225402832 -56.7896995544
3FGL J2351.9-7601     357.981506348 -76.0300979614
3FGL J2354.4-6612     358.601898193 -66.2029037476
3FGL J2354.8-5245     358.702209473 -52.7634010315
3FGL J2358.6-1809     359.665893555 -18.1585006714
