# 3FGL               RA             DEC        PD[frac]  AB   AV   AR
3FGLJ1704.1+1234 256.032714844 12.5735998154 0.00558 0.256 0.194 0.153
3FGLJ1704.4-0528 256.120788574 -5.478099823 0.04257 1.939 1.466 1.160
3FGLJ1705.5+0948 256.376098633 9.80319976807 0.00747 0.339 0.256 0.203
3FGLJ1705.5-4128c 256.395690918 -41.4808998108 1.73682 79.157 59.859 47.350
3FGLJ1707.8+5626 256.956298828 56.4434013367 0.00144 0.067 0.051 0.040
3FGLJ1709.4-0917 257.368103027 -9.28390026093 0.045 2.052 1.552 1.228
3FGLJ1709.5-0335 257.385894775 -3.59470009804 0.04068 1.852 1.400 1.108
3FGLJ1709.9+4624 257.48739624 46.4119987488 0.00243 0.108 0.081 0.064
3FGLJ1710.6-4317 257.660003662 -43.2893981934 0.23553 10.735 8.118 6.421
3FGLJ1714.6-3327 258.655914307 -33.4566001892 0.11772 5.366 4.058 3.210
3FGLJ1715.4-4028 258.851501465 -40.4692001343 0.29034 13.235 10.009 7.917
3FGLJ1717.6-4404 259.42098999 -44.0677986145 0.14355 6.539 4.944 3.911
3FGLJ1719.2-2433 259.818603516 -24.551399231 0.07002 3.194 2.416 1.911
3FGLJ1720.3-0428 260.096313477 -4.47270011902 0.05544 2.524 1.908 1.510
3FGLJ1720.7+0711 260.190795898 7.18909978867 0.01197 0.544 0.411 0.325
3FGLJ1721.4-5253 260.356414795 -52.896900177 0.01908 0.868 0.656 0.519
3FGLJ1721.8-3919 260.463500977 -39.3255996704 0.17289 7.881 5.960 4.714
3FGLJ1722.7-0415 260.690795898 -4.26440000534 0.06858 3.124 2.362 1.869
3FGLJ1723.6-3646 260.919311523 -36.7680015564 0.87345 39.808 30.103 23.812
3FGLJ1725.0-0513 261.251098633 -5.22279977798 0.05895 2.684 2.029 1.605
3FGLJ1725.7-3555c 261.42880249 -35.9297981262 1.32894 60.568 45.802 36.231
3FGLJ1726.6-3530c 261.667297363 -35.5153999329 1.8783 85.605 64.735 51.207
3FGLJ1727.4+0634 261.872009277 6.57560014725 0.00909 0.414 0.313 0.248
3FGLJ1727.6-0654 261.913513184 -6.91279983521 0.06282 2.864 2.166 1.713
3FGLJ1727.7-2637 261.945800781 -26.6250991821 0.12159 5.543 4.192 3.316
3FGLJ1728.0-6446 262.00970459 -64.7731018066 0.00648 0.298 0.226 0.178
3FGLJ1729.0+6049 262.264312744 60.8256988525 0.00279 0.127 0.096 0.076
3FGLJ1729.7-2408 262.434814453 -24.1371002197 0.1251 5.699 4.309 3.409
3FGLJ1729.9-0859 262.491210938 -8.98610019684 0.08487 3.868 2.925 2.314
3FGLJ1730.6-0357 262.665313721 -3.9523999691 0.04689 2.136 1.615 1.278
3FGLJ1731.9+5428 262.984588623 54.4817008972 0.00396 0.179 0.135 0.107
3FGLJ1732.4-2709 263.122711182 -27.150100708 0.14355 6.542 4.947 3.913
3FGLJ1732.7+5914 263.183197021 59.2472991943 0.00225 0.103 0.078 0.061
3FGLJ1733.5-2811 263.382507324 -28.1940994263 0.12429 5.664 4.283 3.388
3FGLJ1733.5-3941 263.384613037 -39.6994018555 0.10305 4.695 3.550 2.808
3FGLJ1733.8-6056 263.464111328 -60.9334983826 0.00621 0.283 0.214 0.169
3FGLJ1734.7-2930 263.694793701 -29.5072994232 0.1755 7.995 6.045 4.782
3FGLJ1736.0-2701 264.018890381 -27.0200996399 0.10674 4.866 3.680 2.911
3FGLJ1736.5-2839 264.131713867 -28.6539993286 0.13203 6.019 4.552 3.601
3FGLJ1737.9-2511 264.476104736 -25.1858005524 0.15966 7.277 5.503 4.353
3FGLJ1739.9-3124c 264.990203857 -31.4029006958 1.11213 50.687 38.330 30.320
3FGLJ1740.5-2843 265.125 -28.716999054 0.21519 9.810 7.419 5.868
3FGLJ1740.5-2726 265.134490967 -27.4500007629 0.13716 6.251 4.727 3.739
3FGLJ1740.5-2642 265.13659668 -26.7115001678 0.17514 7.983 6.037 4.775
3FGLJ1740.8-1933 265.212585449 -19.5652008057 0.08172 3.725 2.817 2.228
3FGLJ1740.8-6755 265.214691162 -67.9278030396 0.00639 0.292 0.221 0.175
3FGLJ1741.4+0938 265.3565979 9.63770008087 0.00999 0.454 0.343 0.272
3FGLJ1742.4-7237 265.622009277 -72.6179962158 0.00495 0.225 0.170 0.135
3FGLJ1742.6-3321 265.665008545 -33.3562011719 0.17964 8.187 6.191 4.897
3FGLJ1743.9-1310 265.992706299 -13.1787996292 0.04059 1.849 1.398 1.106
3FGLJ1744.1-7619 266.045196533 -76.3285980225 0.0234 1.068 0.808 0.639
3FGLJ1744.5-2506 266.13571167 -25.1002998352 0.11502 5.243 3.965 3.136
3FGLJ1744.7-3043 266.1796875 -30.719499588 0.99783 45.476 34.389 27.203
3FGLJ1744.7-2252 266.180908203 -22.8694992065 0.08622 3.930 2.972 2.351
3FGLJ1744.8-1557 266.215087891 -15.9588003159 0.04203 1.916 1.449 1.146
3FGLJ1745.3-2903c 266.342987061 -29.0629997253 7.65882 349.057 263.959 208.799
3FGLJ1745.4+4721 266.373413086 47.3506011963 0.00198 0.091 0.069 0.054
3FGLJ1746.6+0433 266.652313232 4.55950021744 0.02619 1.193 0.902 0.713
3FGLJ1747.0-3506 266.756103516 -35.1072006226 0.06138 2.797 2.115 1.673
3FGLJ1747.0-2828 266.774902344 -28.4818992615 10.65006 485.385 367.051 290.348
3FGLJ1747.3+0324 266.84588623 3.41289997101 0.02439 1.113 0.842 0.666
3FGLJ1747.7-2904 266.942901611 -29.0748004913 0.972 44.299 33.499 26.499
3FGLJ1748.0+2701 267.015014648 27.0219993591 0.00549 0.248 0.187 0.148
3FGLJ1748.3-2815c 267.092498779 -28.2588996887 5.22774 238.258 180.172 142.521
3FGLJ1748.5-3912 267.131286621 -39.2062988281 0.03321 1.514 1.145 0.906
3FGLJ1749.2-2911 267.314910889 -29.192899704 0.45189 20.593 15.572 12.318
3FGLJ1749.6-3133 267.422088623 -31.552400589 0.35811 16.321 12.342 9.763
3FGLJ1749.7-0305 267.447692871 -3.08649992943 0.05202 2.371 1.793 1.419
3FGLJ1750.9-2220 267.742614746 -22.3448009491 0.12213 5.566 4.209 3.330
3FGLJ1753.6-4447 268.404388428 -44.7929992676 0.02061 0.937 0.708 0.560
3FGLJ1754.0-2930 268.500396729 -29.5058994293 0.08208 3.742 2.830 2.239
3FGLJ1754.0-2538 268.508392334 -25.6485996246 1.96533 89.570 67.733 53.579
3FGLJ1754.0-3321 268.518096924 -33.3633995056 0.07398 3.372 2.550 2.017
3FGLJ1757.7-6030 269.428192139 -60.5061988831 0.0072 0.327 0.247 0.196
3FGLJ1757.8-3126 269.469696045 -31.4458007812 0.09675 4.413 3.338 2.640
3FGLJ1758.8-2402 269.70489502 -24.036699295 1.04454 47.606 36.000 28.477
3FGLJ1758.8-2346 269.707214355 -23.7833003998 0.82692 37.689 28.501 22.545
3FGLJ1758.8-4108 269.71270752 -41.1361999512 0.0153 0.695 0.525 0.416
3FGLJ1759.2-3848 269.81439209 -38.8106994629 0.01917 0.875 0.662 0.523
3FGLJ1759.6-2141 269.910400391 -21.6919002533 0.35748 16.295 12.323 9.748
3FGLJ1800.0-2955 270.022796631 -29.9262008667 0.07416 3.383 2.559 2.024
3FGLJ1800.8-2402 270.221588135 -24.0351009369 4.50468 205.306 155.254 122.810
3FGLJ1801.5-7825 270.388092041 -78.4243011475 0.02061 0.939 0.710 0.562
3FGLJ1801.6-2213 270.400085449 -22.2198009491 0.86121 39.252 29.683 23.480
3FGLJ1802.4-3043 270.613708496 -30.724199295 0.06786 3.093 2.339 1.850
3FGLJ1803.1-2728 270.785614014 -27.466999054 0.09414 4.293 3.247 2.568
3FGLJ1803.3-6706 270.843292236 -67.1159973145 0.00504 0.231 0.175 0.138
3FGLJ1804.1+2532 271.039093018 25.5426998138 0.00819 0.373 0.282 0.223
3FGLJ1804.5-0850 271.130401611 -8.84210014343 0.09018 4.110 3.108 2.458
3FGLJ1805.9+3407 271.478912354 34.1246986389 0.00477 0.218 0.165 0.130
3FGLJ1806.2+2744 271.554992676 27.7490005493 0.00666 0.304 0.230 0.182
3FGLJ1806.7-2451 271.680603027 -24.8551006317 0.16254 7.408 5.602 4.432
3FGLJ1806.8+5346 271.724487305 53.7806015015 0.00315 0.142 0.107 0.085
3FGLJ1808.3-3357 272.096801758 -33.9631996155 0.02529 1.151 0.870 0.688
3FGLJ1808.4-3519 272.101104736 -35.3291015625 0.01863 0.846 0.639 0.506
3FGLJ1808.4-3703 272.123809814 -37.0507011414 0.01341 0.610 0.461 0.365
3FGLJ1809.0+3517 272.272796631 35.2851982117 0.0036 0.161 0.121 0.096
3FGLJ1809.2-2725 272.315002441 -27.4281005859 0.04608 2.102 1.590 1.258
3FGLJ1809.2-2016c 272.324493408 -20.2821998596 8.39088 382.419 289.187 228.755
3FGLJ1810.7+5335 272.683197021 53.5885009766 0.00225 0.102 0.077 0.061
3FGLJ1810.8-2412 272.714996338 -24.2124004364 0.17064 7.777 5.881 4.652
3FGLJ1813.6-6845 273.413391113 -68.7633972168 0.00792 0.361 0.273 0.216
3FGLJ1813.6+2820 273.420684814 28.3363990784 0.00738 0.338 0.256 0.202
3FGLJ1813.6-1148 273.423400879 -11.8084001541 0.2844 12.960 9.800 7.752
3FGLJ1814.0-1757c 273.513793945 -17.9612007141 8.80155 401.137 303.342 239.952
3FGLJ1814.1-1734c 273.544799805 -17.5816993713 2.40462 109.593 82.875 65.556
3FGLJ1815.1+5919 273.7940979 59.3263015747 0.00252 0.116 0.088 0.070
3FGLJ1816.0-6407 274.002105713 -64.1333007812 0.00594 0.271 0.205 0.162
3FGLJ1816.2-2726 274.05859375 -27.446100235 0.03105 1.413 1.068 0.845
3FGLJ1816.5-1145 274.126312256 -11.7645998001 0.23544 10.730 8.114 6.418
3FGLJ1817.3-3033 274.342407227 -30.5522003174 0.01989 0.906 0.685 0.542
3FGLJ1817.7+2530 274.434112549 25.5046005249 0.0126 0.574 0.434 0.343
3FGLJ1818.5+1320 274.63269043 13.3374004364 0.01359 0.620 0.469 0.371
3FGLJ1819.5-2045c 274.875701904 -20.7663993835 0.5391 24.572 18.582 14.699
3FGLJ1819.5-1345 274.896697998 -13.7624998093 1.80225 82.140 62.115 49.135
3FGLJ1820.3-1529c 275.09979248 -15.4891004562 0.9693 44.175 33.405 26.424
3FGLJ1820.4-3217 275.103302002 -32.2859992981 0.01917 0.874 0.661 0.523
3FGLJ1821.6-1436c 275.416992188 -14.6122999191 1.71612 78.212 59.144 46.785
3FGLJ1821.9+6636 275.477111816 66.6006011963 0.00387 0.175 0.132 0.105
3FGLJ1823.2-4722 275.804992676 -47.3805007935 0.00657 0.298 0.225 0.178
3FGLJ1823.2-1339 275.820404053 -13.6513004303 1.04103 47.447 35.880 28.382
3FGLJ1824.2-5427 276.051605225 -54.4516983032 0.00936 0.424 0.320 0.253
3FGLJ1824.3-0620 276.0987854 -6.33949995041 0.0801 3.651 2.761 2.184
3FGLJ1827.3-1446 276.834014893 -14.76720047 0.32103 14.630 11.063 8.751
3FGLJ1827.6-0846 276.907989502 -8.77060031891 0.29016 13.224 10.000 7.910
3FGLJ1827.7+1141 276.925415039 11.6970996857 0.01692 0.770 0.582 0.460
3FGLJ1829.2+3229 277.306396484 32.4976997375 0.00774 0.352 0.266 0.211
3FGLJ1829.2+2731 277.313201904 27.5254001617 0.00999 0.456 0.345 0.273
3FGLJ1829.2-1504 277.321014404 -15.0826997757 0.17199 7.838 5.927 4.689
3FGLJ1829.3-0135c 277.332489014 -1.59019994736 0.11142 5.080 3.842 3.039
3FGLJ1829.9-0203c 277.488311768 -2.05410003662 0.27522 12.542 9.484 7.502
3FGLJ1830.7-1630 277.69821167 -16.5142993927 0.07128 3.248 2.456 1.943
3FGLJ1830.8-3136 277.710601807 -31.6026992798 0.01629 0.742 0.561 0.444
3FGLJ1831.6-6503 277.918609619 -65.0655975342 0.00558 0.255 0.193 0.152
3FGLJ1831.7-0230 277.942108154 -2.50069999695 0.26091 11.892 8.993 7.113
3FGLJ1831.7-0157c 277.947692871 -1.96140003204 2.10789 96.070 72.649 57.467
3FGLJ1834.8-0630c 278.712585449 -6.51070022583 0.50067 22.817 17.254 13.648
3FGLJ1837.3-2403 279.330200195 -24.0596008301 0.0243 1.108 0.838 0.663
3FGLJ1837.6-0717 279.402496338 -7.29680013657 1.32903 60.569 45.802 36.231
3FGLJ1838.1+3827 279.549804688 38.4634017944 0.00621 0.283 0.214 0.169
3FGLJ1838.9-0646 279.727996826 -6.77559995651 1.79262 81.699 61.781 48.871
3FGLJ1839.3-0552 279.847991943 -5.88159990311 1.86867 85.169 64.406 50.947
3FGLJ1839.9+7646 279.999786377 76.7828979492 0.00765 0.351 0.266 0.210
3FGLJ1840.5+6116 280.129699707 61.2831001282 0.00315 0.145 0.110 0.087
3FGLJ1842.2+2742 280.562988281 27.7026004791 0.01134 0.515 0.389 0.308
3FGLJ1843.0-0359c 280.76159668 -3.9892001152 2.6505 120.796 91.346 72.258
3FGLJ1843.7-0322 280.928192139 -3.37719988823 1.34667 61.375 46.412 36.713
3FGLJ1844.3-0344 281.099700928 -3.74679994583 1.80774 82.389 62.303 49.283
3FGLJ1844.7-1224 281.182006836 -12.4132003784 0.06723 3.063 2.316 1.832
3FGLJ1845.5-2524 281.386993408 -25.4095993042 0.02709 1.237 0.936 0.740
3FGLJ1848.4-0141 282.118286133 -1.69270002842 2.10033 95.726 72.389 57.261
3FGLJ1848.6+3232 282.157196045 32.5444984436 0.00693 0.316 0.239 0.189
3FGLJ1849.5-0124c 282.396514893 -1.41320002079 1.80774 82.390 62.304 49.284
3FGLJ1850.5-0024 282.632110596 -0.4049000144 1.05714 48.179 36.433 28.820
3FGLJ1851.2+0423 282.8046875 4.39099979401 0.24237 11.047 8.354 6.608
3FGLJ1852.8+0158 283.209106445 1.97220003605 0.76014 34.645 26.199 20.724
3FGLJ1855.4+0454 283.856414795 4.91160011292 0.405 18.457 13.957 11.041
3FGLJ1855.6+0753 283.910614014 7.88339996338 0.837 38.145 28.845 22.818
3FGLJ1856.1-1217 284.032287598 -12.2999000549 0.03411 1.554 1.175 0.930
3FGLJ1857.0-7341 284.252685547 -73.6865997314 0.00819 0.373 0.282 0.223
3FGLJ1857.2+0059 284.309509277 0.986299991608 0.53802 24.520 18.542 14.668
3FGLJ1857.8+0129c 284.471191406 1.49779999256 0.73674 33.575 25.389 20.084
3FGLJ1857.9+0355 284.488800049 3.92779994011 1.06758 48.655 36.793 29.104
3FGLJ1857.9+0210 284.490203857 2.17039990425 0.94842 43.225 32.687 25.856
3FGLJ1857.9+7319 284.490386963 73.3265991211 0.009 0.410 0.310 0.245
3FGLJ1857.9+5549 284.5 55.8251991272 0.00387 0.177 0.134 0.106
3FGLJ1858.0-5423 284.500793457 -54.3914985657 0.00657 0.301 0.228 0.180
3FGLJ1859.6+0102 284.91519165 1.035400033 0.56844 25.908 19.592 15.497
3FGLJ1900.3+0411c 285.097503662 4.19250011444 2.37402 108.198 81.820 64.722
3FGLJ1900.8+0337 285.204803467 3.62299990654 1.37889 62.845 47.524 37.593
3FGLJ1901.1+0728 285.295806885 7.47559976578 0.36657 16.706 12.633 9.993
3FGLJ1901.5-0126 285.399414062 -1.44809997082 0.07182 3.271 2.473 1.956
3FGLJ1902.3-3702c 285.579101562 -37.0425987244 0.1215 5.538 4.188 3.312
3FGLJ1902.6+0655 285.657104492 6.93179988861 0.72891 33.219 25.120 19.871
3FGLJ1903.9+0052 285.99798584 0.869599997997 0.13959 6.364 4.813 3.807
3FGLJ1904.7-0708 286.197998047 -7.13819980621 0.03096 1.410 1.066 0.844
3FGLJ1904.9+0818 286.243103027 8.30599975586 0.42462 19.353 14.635 11.576
3FGLJ1906.6+0720 286.671386719 7.33389997482 1.40436 64.004 48.400 38.286
3FGLJ1908.9+1022 287.227996826 10.3748998642 0.34452 15.700 11.872 9.391
3FGLJ1911.1-5318 287.794891357 -53.3026008606 0.00603 0.277 0.210 0.166
3FGLJ1911.7+0307 287.931091309 3.13010001183 0.07524 3.431 2.595 2.053
3FGLJ1912.7+4610 288.178192139 46.1721000671 0.0063 0.286 0.216 0.171
3FGLJ1915.2+0954 288.802185059 9.90839958191 0.72216 32.915 24.891 19.689
3FGLJ1917.1-3024 289.288513184 -30.4165992737 0.00855 0.389 0.294 0.233
3FGLJ1919.0+0452 289.76071167 4.87389993668 0.10341 4.714 3.565 2.820
3FGLJ1919.9+1407 289.980712891 14.1178998947 0.85041 38.758 29.309 23.184
3FGLJ1921.2+1506 290.30758667 15.1094999313 0.45792 20.871 15.783 12.485
3FGLJ1921.6+1934 290.407104492 19.5813007355 0.18036 8.218 6.214 4.916
3FGLJ1922.2+2313 290.56539917 23.2259998322 0.09216 4.202 3.178 2.514
3FGLJ1923.2-7452 290.820007324 -74.8816986084 0.00594 0.272 0.206 0.163
3FGLJ1924.8-1034 291.209289551 -10.5818004608 0.01746 0.798 0.604 0.478
3FGLJ1925.4+1605 291.353485107 16.096200943 0.97839 44.590 33.719 26.673
3FGLJ1925.4+1727 291.373199463 17.4631996155 0.88209 40.202 30.401 24.048
3FGLJ1925.8-7826 291.450500488 -78.4376983643 0.04185 1.906 1.441 1.140
3FGLJ1928.4+1838 292.113098145 18.633600235 0.38736 17.654 13.350 10.560
3FGLJ1928.9+1739 292.236694336 17.6567001343 0.63171 28.789 21.770 17.221
3FGLJ1931.1+1659 292.778900146 16.9911994934 0.58293 26.567 20.090 15.892
3FGLJ1934.2+6002 293.550201416 60.0399017334 0.00477 0.214 0.161 0.128
3FGLJ1935.2-7924c 293.802612305 -79.407699585 0.03681 1.676 1.267 1.002
3FGLJ1936.6-4215 294.164215088 -42.2659988403 0.00666 0.307 0.233 0.184
3FGLJ1943.8+2518 295.970611572 25.3031005859 0.1908 8.696 6.576 5.202
3FGLJ1944.0-0535 296.0 -5.59060001373 0.02961 1.349 1.020 0.807
3FGLJ1944.1+3919 296.039398193 39.3246002197 0.02142 0.976 0.738 0.584
3FGLJ1944.8+4300 296.221588135 43.004699707 0.01665 0.759 0.574 0.454
3FGLJ1945.3+7329 296.344207764 73.4899978638 0.01575 0.718 0.543 0.429
3FGLJ1946.4-5403 296.6144104 -54.0569992065 0.00396 0.181 0.137 0.109
3FGLJ1947.4-1121 296.857391357 -11.3543996811 0.01665 0.760 0.575 0.455
3FGLJ1947.9-0743 296.97869873 -7.71979999542 0.01818 0.826 0.624 0.494
3FGLJ1948.1-7059 297.036712646 -70.9887008667 0.00594 0.273 0.207 0.163
3FGLJ1949.3+2433 297.328887939 24.5650005341 0.37818 17.237 13.035 10.311
3FGLJ1949.5-1454 297.39440918 -14.9141998291 0.0171 0.780 0.590 0.466
3FGLJ1949.6+2355 297.409698486 23.9249992371 0.23166 10.559 7.985 6.316
3FGLJ1949.7-8109 297.437591553 -81.1643981934 0.06345 2.893 2.188 1.730
3FGLJ1950.2+1215 297.559112549 12.2551002502 0.01944 0.887 0.671 0.531
3FGLJ1951.3+6909 297.832702637 69.1557006836 0.01926 0.877 0.663 0.525
3FGLJ1951.8-1102 297.968505859 -11.0335998535 0.0162 0.738 0.558 0.442
3FGLJ1953.3+3847 298.329101562 38.7980003357 0.02511 1.142 0.863 0.683
3FGLJ1953.4+7653 298.361785889 76.8899993896 0.01809 0.823 0.622 0.492
3FGLJ1955.7-7019 298.948394775 -70.3218002319 0.00468 0.210 0.158 0.125
3FGLJ1957.9-0712 299.483886719 -7.2108001709 0.01053 0.478 0.361 0.286
3FGLJ1958.1+2436 299.525909424 24.6144008636 0.14229 6.484 4.903 3.878
3FGLJ1958.1-0243 299.527404785 -2.72140002251 0.03285 1.495 1.130 0.894
3FGLJ1958.2-1413 299.567993164 -14.2222995758 0.02727 1.244 0.941 0.744
3FGLJ1958.6+3844 299.674285889 38.7453994751 0.0486 2.215 1.675 1.325
3FGLJ2004.4+3338 301.103210449 33.6450996399 0.26073 11.884 8.987 7.109
3FGLJ2005.7-8241 301.437988281 -82.6989974976 0.02097 0.958 0.725 0.573
3FGLJ2006.5-0939 301.627807617 -9.66609954834 0.01152 0.525 0.397 0.314
3FGLJ2006.6+0150 301.659393311 1.84599995613 0.009 0.409 0.309 0.245
3FGLJ2009.2-1458 302.303710938 -14.9776000977 0.01782 0.811 0.613 0.485
3FGLJ2010.0-2120 302.505615234 -21.3342990875 0.01134 0.516 0.390 0.308
3FGLJ2011.1+4203 302.798492432 42.0555992126 0.08424 3.840 2.904 2.297
3FGLJ2014.5+5246 303.648712158 52.7690010071 0.02592 1.180 0.892 0.706
3FGLJ2015.3-1431 303.849487305 -14.5314998627 0.00684 0.310 0.234 0.185
3FGLJ2017.9+3627 304.484710693 36.4590988159 0.24741 11.276 8.527 6.745
3FGLJ2018.6+4213 304.674713135 42.2304000854 0.3249 14.810 11.200 8.859
3FGLJ2022.2-7220 305.565093994 -72.3395996094 0.00477 0.218 0.165 0.130
3FGLJ2023.5+4126 305.87600708 41.4337005615 0.73566 33.529 25.355 20.056
3FGLJ2024.6+0309 306.153503418 3.15899991989 0.01098 0.500 0.378 0.299
3FGLJ2024.6+3747 306.172393799 37.7967987061 0.21708 9.892 7.480 5.917
3FGLJ2024.8-2331 306.209594727 -23.5279998779 0.00612 0.276 0.208 0.165
3FGLJ2025.1-2858 306.276885986 -28.9764003754 0.00495 0.227 0.172 0.136
3FGLJ2026.3+1430 306.587005615 14.5145998001 0.00936 0.428 0.324 0.256
3FGLJ2026.4+4709 306.600311279 47.1623001099 0.11124 5.072 3.836 3.034
3FGLJ2026.8+4003 306.716094971 40.0526008606 1.11924 51.011 38.575 30.514
3FGLJ2026.8+2813 306.717590332 28.231300354 0.05751 2.621 1.982 1.568
3FGLJ2028.5+4040c 307.134887695 40.6769981384 0.36747 16.749 12.666 10.019
3FGLJ2028.7+1012 307.191314697 10.2070999146 0.00936 0.425 0.321 0.254
3FGLJ2029.5-4232 307.389312744 -42.537399292 0.00477 0.217 0.164 0.130
3FGLJ2030.5-1439 307.629486084 -14.654299736 0.00504 0.229 0.173 0.137
3FGLJ2032.5+4032 308.125305176 40.5349006653 0.27666 12.606 9.532 7.540
3FGLJ2032.5+3921 308.139404297 39.3588981628 0.58617 26.716 20.203 15.981
3FGLJ2033.3+4348c 308.337799072 43.8117980957 0.40734 18.565 14.039 11.105
3FGLJ2034.4+3833c 308.620788574 38.5640983582 0.36207 16.501 12.478 9.871
3FGLJ2034.6+4302 308.67010498 43.0390014648 0.5661 25.801 19.511 15.433
3FGLJ2034.6-4202 308.673492432 -42.0397987366 0.00342 0.154 0.116 0.092
3FGLJ2035.0+3634 308.75769043 36.581401825 0.12204 5.562 4.206 3.327
3FGLJ2035.6+3146 308.908111572 31.7702999115 0.06723 3.065 2.318 1.834
3FGLJ2035.8+4902 308.958312988 49.0466995239 0.14292 6.513 4.925 3.896
3FGLJ2036.8+4234c 309.221984863 42.5680999756 0.35289 16.083 12.162 9.620
3FGLJ2037.4+4132c 309.353912354 41.5340003967 0.66285 30.211 22.846 18.072
3FGLJ2038.4+4212 309.624786377 42.2084999084 1.1664 53.159 40.199 31.799
3FGLJ2038.8-3613 309.705810547 -36.2178001404 0.00369 0.170 0.129 0.102
3FGLJ2039.4+4111 309.854003906 41.1982002258 0.69489 31.669 23.948 18.944
3FGLJ2039.6-5618 309.917999268 -56.3120994568 0.00459 0.208 0.157 0.124
3FGLJ2039.7+1237 309.937408447 12.6259002686 0.00666 0.304 0.230 0.182
3FGLJ2041.1+4736 310.280700684 47.6030006409 0.16632 7.581 5.733 4.535
3FGLJ2042.3-5416 310.596405029 -54.2694015503 0.00432 0.198 0.150 0.118
3FGLJ2042.4+4209 310.614196777 42.1531982422 0.60003 27.346 20.679 16.358
3FGLJ2043.1+4350 310.776611328 43.8353004456 0.29556 13.468 10.184 8.056
3FGLJ2043.6+0001 310.901489258 0.0287999995053 0.00531 0.242 0.183 0.145
3FGLJ2043.8-4801 310.950408936 -48.0205993652 0.00288 0.131 0.099 0.078
3FGLJ2044.0+1035 311.000213623 10.5902004242 0.00639 0.289 0.218 0.173
3FGLJ2045.6-6838 311.407196045 -68.6346969604 0.00405 0.184 0.139 0.110
3FGLJ2046.7-4259 311.697814941 -42.9841003418 0.00261 0.119 0.090 0.071
3FGLJ2047.9-3119 311.983612061 -31.324300766 0.00576 0.264 0.200 0.158
3FGLJ2048.8+4436 312.2237854 44.6082000732 0.38664 17.623 13.327 10.542
3FGLJ2053.1+6027 313.288391113 60.4581985474 0.07146 3.254 2.460 1.946
3FGLJ2053.4-4052 313.356994629 -40.8714981079 0.00405 0.185 0.140 0.111
3FGLJ2053.9+2922 313.476104736 29.3736000061 0.01278 0.585 0.443 0.350
3FGLJ2054.3+6907 313.586700439 69.130897522 0.0369 1.680 1.270 1.005
3FGLJ2054.8-4908 313.724914551 -49.135799408 0.00279 0.129 0.098 0.077
3FGLJ2055.6+1609 313.900787354 16.1560993195 0.0063 0.287 0.217 0.172
3FGLJ2056.3-5925 314.096984863 -59.4217987061 0.00369 0.169 0.128 0.101
3FGLJ2058.0+4347 314.503387451 43.7948989868 0.31302 14.265 10.787 8.533
3FGLJ2058.3+3729 314.580810547 37.4892997742 0.0486 2.213 1.673 1.324
3FGLJ2059.9+2029 314.994995117 20.4880008698 0.01296 0.592 0.448 0.354
3FGLJ2100.6-7844 315.157989502 -78.7464981079 0.01098 0.501 0.379 0.300
3FGLJ2102.8+4704 315.723907471 47.0694999695 0.2007 9.146 6.916 5.471
3FGLJ2103.7-1113 315.94241333 -11.2291002274 0.0099 0.448 0.338 0.268
3FGLJ2104.7+2113 316.192810059 21.2282009125 0.01467 0.671 0.508 0.402
3FGLJ2107.1+2248 316.794799805 22.8038005829 0.01233 0.564 0.427 0.337
3FGLJ2108.1+5202 317.044708252 52.0424003601 0.31617 14.408 10.895 8.618
3FGLJ2109.4+1437 317.35949707 14.6197004318 0.00846 0.385 0.291 0.230
3FGLJ2110.0+0442 317.51260376 4.70450019836 0.00981 0.447 0.338 0.267
3FGLJ2110.4+5946 317.619293213 59.7793006897 0.08847 4.031 3.048 2.411
3FGLJ2112.5-3044 318.144714355 -30.7343997955 0.00873 0.397 0.300 0.238
3FGLJ2114.0+5239 318.524291992 52.6523017883 0.35127 16.006 12.103 9.574
3FGLJ2115.2+1215 318.821990967 12.2595996857 0.00594 0.271 0.205 0.162
3FGLJ2116.2+4422 319.06350708 44.3805007935 0.06678 3.044 2.302 1.821
3FGLJ2116.9+1343 319.234191895 13.728099823 0.00495 0.226 0.171 0.135
3FGLJ2117.6+3725 319.420806885 37.4255981445 0.01395 0.637 0.482 0.381
3FGLJ2118.3+5751 319.588012695 57.8625984192 0.07128 3.248 2.456 1.943
3FGLJ2120.4-1256 320.123413086 -12.9462995529 0.00504 0.229 0.173 0.137
3FGLJ2121.5-8253 320.38079834 -82.8930969238 0.01449 0.658 0.497 0.394
3FGLJ2125.8+5832 321.461212158 58.5489997864 0.10386 4.732 3.578 2.831
3FGLJ2127.1-5615 321.784301758 -56.2552986145 0.00558 0.255 0.193 0.153
3FGLJ2127.5-6001 321.892700195 -60.0312995911 0.00252 0.117 0.089 0.070
3FGLJ2130.4-4237 322.614807129 -42.6315002441 0.00225 0.100 0.075 0.060
3FGLJ2131.1-6625 322.790893555 -66.4169006348 0.00261 0.118 0.089 0.071
3FGLJ2131.5+2605 322.895507812 26.0970993042 0.01134 0.520 0.394 0.311
3FGLJ2133.0-6433 323.258605957 -64.5534973145 0.00324 0.147 0.111 0.088
3FGLJ2133.6+2821 323.403686523 28.3575992584 0.01449 0.659 0.498 0.394
3FGLJ2134.5-2131 323.64630127 -21.5216999054 0.0036 0.166 0.126 0.100
