# 3FGL               RA             DEC        PD[frac]  AB   AV   AR
3FGLJ0239.0+2555 39.7678985596 25.9200000763 0.01215 0.555 0.420 0.332
3FGLJ0239.4+1326 39.8684997559 13.4427995682 0.00927 0.420 0.317 0.251
3FGLJ0240.0-0253 40.0007019043 -2.8993999958 0.00207 0.094 0.071 0.056
3FGLJ0242.1-0534 40.5316009521 -5.56960010529 0.00306 0.137 0.103 0.082
3FGLJ0244.4+4745 41.1231002808 47.7531013489 0.01485 0.678 0.513 0.405
3FGLJ0248.4+5130 42.1100997925 51.513999939 0.02808 1.279 0.967 0.765
3FGLJ0251.1-1829 42.7971000671 -18.4857006073 0.00216 0.100 0.076 0.060
3FGLJ0254.2+5903 43.5587005615 59.0525016785 0.08802 4.011 3.033 2.399
3FGLJ0258.2+3555 44.5577011108 35.9289016724 0.01233 0.563 0.426 0.337
3FGLJ0258.9+0552 44.7397003174 5.87589979172 0.01089 0.497 0.376 0.297
3FGLJ0307.3+4916 46.8432998657 49.270401001 0.045 2.053 1.553 1.228
3FGLJ0308.4-2852 47.1030006409 -28.8733997345 0.00117 0.055 0.042 0.033
3FGLJ0312.1-0921 48.0407981873 -9.35929965973 0.00801 0.365 0.276 0.219
3FGLJ0312.7-2222 48.1757011414 -22.3708992004 0.00153 0.069 0.052 0.041
3FGLJ0312.7+2011 48.1906013489 20.189699173 0.02502 1.143 0.865 0.684
3FGLJ0318.1+0252 49.5362014771 2.8694999218 0.00981 0.446 0.337 0.267
3FGLJ0322.5-3721 50.6426010132 -37.3583984375 0.00153 0.072 0.055 0.043
3FGLJ0323.7-6038 50.9430007935 -60.6398010254 0.00342 0.158 0.120 0.095
3FGLJ0324.5-1315 51.1467018127 -13.2558002472 0.00675 0.309 0.234 0.185
3FGLJ0327.4+5828c 51.8689002991 58.4770011902 0.29097 13.261 10.028 7.933
3FGLJ0330.6+0437 52.6651992798 4.62559986115 0.01863 0.850 0.643 0.508
3FGLJ0332.4+6110 53.1208000183 61.1701011658 0.06876 3.134 2.370 1.875
3FGLJ0332.4+4644 53.1234016418 46.7358016968 0.03969 1.811 1.370 1.084
3FGLJ0333.6+0233 53.4123001099 2.56349992752 0.00693 0.314 0.237 0.188
3FGLJ0336.1+7500 54.0438995361 75.015296936 0.02052 0.935 0.707 0.559
3FGLJ0340.4+5302 55.1004981995 53.0484008789 0.13005 5.926 4.481 3.545
3FGLJ0340.4-2423 55.1044006348 -24.3871002197 0.00117 0.055 0.042 0.033
3FGLJ0342.3+3148c 55.5763015747 31.8090991974 0.15777 7.188 5.435 4.299
3FGLJ0342.8+1321 55.710899353 13.3622999191 0.0288 1.315 0.995 0.787
3FGLJ0345.3+3236 56.349899292 32.6015014648 0.07668 3.494 2.642 2.090
3FGLJ0348.1+4431 57.0475006104 44.5292015076 0.05004 2.281 1.725 1.364
3FGLJ0348.4+6039 57.1049995422 60.6633987427 0.08154 3.713 2.807 2.221
3FGLJ0351.0-2816 57.7690010071 -28.2766990662 0.00063 0.031 0.024 0.019
3FGLJ0351.4-3248 57.8536987305 -32.8004989624 0.00072 0.033 0.025 0.020
3FGLJ0359.5+5413 59.8810997009 54.2220001221 0.1458 6.644 5.024 3.974
3FGLJ0359.7+7649 59.9350013733 76.8312988281 0.01422 0.647 0.489 0.387
3FGLJ0401.0-5359 60.2591018677 -53.9863014221 0.00153 0.068 0.051 0.041
3FGLJ0402.7+2616 60.6755981445 26.2695999146 0.01602 0.730 0.552 0.437
3FGLJ0412.0+0229 63.0243988037 2.4960000515 0.02331 1.065 0.806 0.637
3FGLJ0414.9-0840 63.7336997986 -8.67450046539 0.00396 0.181 0.137 0.108
3FGLJ0415.7-4351 63.9407997131 -43.8648986816 0.00135 0.062 0.047 0.037
3FGLJ0418.2+3412 64.5737991333 34.2086982727 0.02349 1.068 0.807 0.639
3FGLJ0419.1+6636 64.7781982422 66.6048965454 0.0567 2.582 1.952 1.544
3FGLJ0420.4+1448 65.1137008667 14.8094997406 0.05814 2.651 2.005 1.586
3FGLJ0420.4-6013 65.1197967529 -60.2270011902 0.00135 0.061 0.046 0.037
3FGLJ0420.6-3742 65.1641998291 -37.7149009705 0.00189 0.085 0.064 0.051
3FGLJ0421.6+1950 65.4041976929 19.8469009399 0.04086 1.862 1.408 1.114
3FGLJ0423.5+5442 65.899597168 54.7057991028 0.15246 6.950 5.256 4.157
3FGLJ0425.8+5600 66.4515991211 56.013999939 0.06732 3.068 2.320 1.835
3FGLJ0426.3+3510 66.587600708 35.17029953 0.02763 1.258 0.951 0.753
3FGLJ0426.7+5437 66.6812973022 54.6167984009 0.12366 5.633 4.259 3.369
3FGLJ0427.9-6704 66.9821014404 -67.0776977539 0.00351 0.160 0.121 0.096
3FGLJ0429.8+3611c 67.4691009521 36.195098877 0.09837 4.484 3.391 2.682
3FGLJ0430.1-3103 67.5428009033 -31.0655002594 0.00216 0.098 0.074 0.058
3FGLJ0431.7+3503 67.9309005737 35.0559005737 0.03483 1.585 1.198 0.948
3FGLJ0432.5+0539 68.1361999512 5.66090011597 0.02106 0.958 0.724 0.573
3FGLJ0434.3-1411c 68.5772018433 -14.1969995499 0.04635 2.113 1.598 1.264
3FGLJ0437.7-7330 69.4390029907 -73.5149002075 0.00594 0.272 0.206 0.163
3FGLJ0447.1-2540 71.7948989868 -25.675699234 0.00252 0.114 0.086 0.068
3FGLJ0451.6+7231 72.9164962769 72.5179977417 0.01287 0.587 0.444 0.351
3FGLJ0451.7+5722 72.9400024414 57.3734016418 0.05373 2.449 1.852 1.465
3FGLJ0456.2-6924 74.0667037964 -69.407699585 0.00594 0.272 0.206 0.163
3FGLJ0502.6+1759 75.6552963257 17.9951992035 0.04347 1.983 1.500 1.186
3FGLJ0506.3-0357 76.5865020752 -3.95219993591 0.018 0.820 0.620 0.491
3FGLJ0506.9+0321 76.7351989746 3.36159992218 0.00522 0.240 0.182 0.144
3FGLJ0507.5-0906 76.8882980347 -9.1016998291 0.00783 0.359 0.272 0.215
3FGLJ0512.0-3737 78.0154037476 -37.6231002808 0.00252 0.116 0.088 0.070
3FGLJ0514.6-4406 78.6745986938 -44.1133003235 0.00171 0.080 0.061 0.048
3FGLJ0516.6+1012 79.1701965332 10.206199646 0.03294 1.499 1.133 0.896
3FGLJ0517.1+2628c 79.2914962769 26.4787998199 0.11007 5.016 3.793 3.000
3FGLJ0523.3-2528 80.8392028809 -25.4762992859 0.00225 0.100 0.075 0.060
3FGLJ0523.7+3328 80.9324035645 33.4742012024 0.07668 3.493 2.641 2.089
3FGLJ0524.4+2839 81.1240005493 28.654800415 0.04455 2.027 1.532 1.212
3FGLJ0524.5-6937 81.1277999878 -69.6294021606 0.00594 0.272 0.206 0.163
3FGLJ0525.2-6614 81.3239974976 -66.243598938 0.00594 0.272 0.206 0.163
3FGLJ0526.4+2247 81.6091003418 22.7980003357 0.0513 2.337 1.767 1.398
3FGLJ0527.3+6647 81.8355026245 66.7845993042 0.01521 0.693 0.524 0.415
3FGLJ0529.2+3822 82.3094024658 38.3669013977 0.16533 7.537 5.700 4.508
3FGLJ0533.2+5944 83.3109970093 59.7415008545 0.03249 1.480 1.119 0.885
3FGLJ0533.8-3754 83.4635009766 -37.9053001404 0.00234 0.108 0.082 0.064
3FGLJ0535.3-6559 83.8283004761 -65.9972991943 0.00594 0.272 0.206 0.163
3FGLJ0535.7-0617c 83.9348983765 -6.29050016403 0.09153 4.171 3.154 2.495
3FGLJ0536.4-3347 84.1005020142 -33.7878990173 0.00234 0.107 0.081 0.064
3FGLJ0537.0-7113 84.2537002563 -71.220703125 0.00594 0.272 0.206 0.163
3FGLJ0537.0+0957 84.2661972046 9.95030021667 0.0279 1.270 0.960 0.760
3FGLJ0537.4+3604c 84.3505020142 36.0746994019 0.11475 5.230 3.955 3.128
3FGLJ0538.8-0341 84.7093963623 -3.69569993019 0.03186 1.450 1.096 0.867
3FGLJ0538.9+1646 84.7485961914 16.773399353 0.03213 1.465 1.108 0.877
3FGLJ0539.2-0536 84.8006973267 -5.60129976273 0.02835 1.295 0.980 0.775
3FGLJ0539.9-7553 84.9850997925 -75.8836975098 0.00675 0.308 0.233 0.184
3FGLJ0540.0+1208 85.0021972656 12.1482000351 0.02826 1.288 0.974 0.771
3FGLJ0540.8+3503c 85.2147979736 35.0643005371 0.09306 4.241 3.207 2.537
3FGLJ0541.1+3553 85.2774963379 35.8974990845 1.5633 71.247 53.877 42.619
3FGLJ0544.7+2239 86.1757965088 22.6571998596 0.07929 3.611 2.730 2.160
3FGLJ0545.6+6019 86.4152984619 60.3218994141 0.02052 0.938 0.710 0.561
3FGLJ0546.4+0031c 86.6249008179 0.527400016785 0.08334 3.799 2.873 2.272
3FGLJ0550.3-4521 87.5871963501 -45.3506011963 0.00414 0.189 0.143 0.113
3FGLJ0556.2+3933 89.0576019287 39.550201416 0.04302 1.964 1.486 1.175
3FGLJ0557.7-0720 89.4498977661 -7.34030008316 0.02808 1.278 0.966 0.764
3FGLJ0559.8+3042 89.9621963501 30.7152996063 0.04302 1.962 1.484 1.174
3FGLJ0600.4-1934 90.1183013916 -19.573299408 0.00441 0.201 0.152 0.120
3FGLJ0601.5+2309 90.3835983276 23.158000946 0.10611 4.834 3.655 2.892
