col1,col2,_r,USNO-B1.0,Tycho-2,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Epoch,pmRA,pmDE,muPr,e_pmRA,e_pmDE,fit_RA,fit_DE,Ndet,Flags,B1mag,B1C,B1S,B1f,B1s/g,B1xi,B1eta,R1mag,R1C,R1S,R1f,R1s/g,R1xi,R1eta,B2mag,B2C,B2S,B2f,B2s/g,B2xi,B2eta,R2mag,R2C,R2S,R2f,R2s/g,R2xi,R2eta,Imag,IC,IS,If,Is/g,Ixi,Ieta,Separation
196.087208333,-43.88575,4.85E-4,0461-0286886,,196.087559,-43.886164,102,74,1985.2,0,0,0,0,0,2,1,4,..Y,,,,,,,,15.75,1,5,269,2,0.24,0.01,17.48,1,4,269,8,-0.06,0.15,16.1,1,6,269,8,-0.07,-0.05,15.48,1,8,269,,-0.13,-0.14,4.850464022187916E-4
196.181833333,-3.76736111111,1.35E-4,0862-0253473,,196.181967,-3.767384,213,86,1970.2,16,2,9,6,2,1,0,4,...,18.65,2,0,617,3,0.03,0.03,19.35,2,1,617,3,-0.04,-0.05,19.23,1,4,790,4,0.12,0.03,18.52,1,5,790,3,-0.12,-0.04,,,,,,,,1.353278710340984E-4
196.250041667,78.9099444444,3.83E-4,1689-0049736,,196.251095,78.90962,78,139,1976.4,12,-20,9,2,4,1,1,4,...,19.92,1,0,21,0,-0.05,0.12,19.58,1,1,22,3,0.04,-0.13,19.83,1,2,21,3,-0.07,0.03,19.29,1,3,20,2,0.05,-0.03,,,,,,,,3.825131416477049E-4
197.098791667,35.777,1.27E-4,1257-0207081,,197.098903,35.777089,153,86,1975.8,8,18,9,5,2,1,0,3,...,21.23,2,0,269,9,0.0,0.0,,,,,,,,20.93,2,2,382,4,-0.12,-0.07,19.43,2,3,382,4,0.11,0.06,,,,,,,,1.2680485288572044E-4
197.356375,43.0848888889,4.0E-5,1330-0287528,,197.356409,43.08492,230,59,1977.3,-2,4,9,7,1,3,0,5,..Y,16.98,2,0,219,1,0.36,-0.07,16.47,2,1,219,9,-0.36,0.05,17.87,1,2,269,1,-0.04,0.06,16.79,1,3,269,2,0.04,0.02,16.69,1,7,269,,-0.02,-0.08,3.980591353747654E-5
197.391375,11.9068333333,4.5E-5,1019-0245968,,197.391345,11.906867,93,61,1978.2,0,0,0,0,0,2,1,5,..Y,18.81,2,0,498,8,0.17,-0.11,18.74,2,1,498,8,0.08,-0.1,18.05,1,2,646,10,-0.12,0.03,18.16,1,3,646,10,-0.27,-0.04,17.53,1,7,646,,0.12,0.18,4.4666935268805445E-5
197.551916667,-11.9629722222,4.12E-4,0780-0302092,,197.551578,-11.963217,91,241,1976.5,-10,-6,7,3,8,1,3,5,...,16.42,1,0,739,2,-0.12,0.3,14.73,1,1,739,2,0.09,-0.29,14.84,2,4,718,9,0.03,0.05,13.49,2,5,718,9,0.06,-0.19,13.96,1,8,719,,-0.08,0.11,4.119266282926E-4
197.619416667,32.3455,2.2E-5,1223-0272880,,197.619439,32.345512,114,153,1973.6,0,0,0,0,0,2,3,5,..Y,19.34,2,0,269,8,-0.05,-0.34,19.59,2,1,269,10,0.23,-0.18,20.4,2,2,382,2,0.1,-0.03,17.91,2,3,382,9,0.05,0.06,18.49,2,7,382,,-0.36,0.45,2.2360499391552497E-5
197.763375,55.23175,7.9E-5,1452-0220357,,197.763448,55.231817,41,186,1977.0,10,10,9,1,6,0,2,5,..Y,19.66,1,0,133,7,0.01,0.22,19.37,1,1,133,3,-0.01,-0.21,19.81,1,2,173,4,0.0,0.16,20.41,1,3,173,9,0.05,-0.02,18.26,1,7,173,,-0.07,-0.17,7.887939919349646E-5
197.776958333,0.586111111111,8.7E-5,0905-0217488,,197.777006,0.586184,103,39,1979.4,0,0,0,0,0,2,0,5,..Y,19.19,1,0,618,9,0.34,0.06,18.1,1,1,618,7,-0.09,-0.1,17.39,1,2,863,8,-0.02,-0.07,17.41,1,3,863,2,-0.17,0.07,16.7,1,8,863,,-0.08,0.02,8.709015581223407E-5
