#  N           MDJ            Flux      Flux_Err       Index       IdxErr      UpperLimit     TS_VALUE     Prefactor    Pref_Err      T_START    T_STOP       NPRED
# Source: RBPLJ0221+2518, start time: 493776269, integration time: 3628800
    10   5.59240031E+04   1.779104E-13 2.0191E-11   6.267592E-01 6.3870E+01   1.530118E-09   -3.143E-04   3.621955E-18 8.6911E-02    344995469  348624269   5.242E-04
     1   5.59660031E+04   3.201996E-12 1.8060E-10   1.081469E+00 1.0874E+01   3.741683E-09   -1.007E-03   2.247815E-17 1.9039E-01    348624269  352253069   7.741E-03
     2   5.60080031E+04   1.159320E-11 1.8533E-09   8.469075E-01 1.2732E+01   2.987727E-09   -6.121E-03   1.459110E-16 2.7703E+00    352253069  355881869   3.285E-02
     3   5.60500031E+04   2.124906E-11 5.9544E-10   8.926756E-01 3.1134E+00   4.024869E-09   -7.564E-03   2.397863E-16 8.5207E-01    355881869  359510669   5.464E-02
     4   5.60920031E+04   6.816035E-13 1.2790E-10   5.760098E-01 5.2521E+01   2.508787E-09   -5.660E-04   1.530330E-17 4.3731E-01    359510669  363139469   2.173E-03
     5   5.61340031E+04   4.878428E-09 5.5307E-09   7.203627E-01 4.4449E-01   9.837684E-09    5.341E+00   8.176717E-14 5.0068E+00    363139469  366768269   1.608E+01
     6   5.61760031E+04   1.432141E-12 2.9424E-10   8.571448E-01 1.4394E+01   3.053454E-09   -8.929E-04   1.759416E-17 4.2152E-01    366768269  370397069   4.544E-03
     7   5.62180031E+04   1.607039E-09 4.6491E-09   4.787412E-01 4.3466E-01   4.836197E-09    4.469E+00   4.276570E-14 1.5371E+01    370397069  374025869   5.569E+00
     8   5.62600031E+04   1.665098E-09 5.5361E-09   8.748207E-01 1.6446E-01   5.085224E-09    9.318E-01   1.961337E-14 7.2939E+00    374025869  377654669   4.341E+00
     9   5.63020031E+04   3.451943E-09 7.8094E-09   1.364720E+00 8.4116E-01   7.860741E-09    2.923E-01   1.125754E-14 2.9559E+00    377654669  381283469   7.767E+00
    10   5.63440031E+04   1.048413E-11 1.1487E-09   9.697526E-01 1.0590E+01   2.932594E-09   -4.480E-03   9.789500E-17 1.3318E+00    381283469  384912269   2.851E-02
     1   5.63860031E+04   1.073291E-09 5.8414E-09   7.795670E-01 2.2592E-01   4.936355E-09    1.705E-01   1.578050E-14 9.3958E+00    384912269  388541069   2.937E+00
     2   5.64280031E+04   4.422889E-12 3.8783E-10   9.691426E-01 7.2599E+00   2.170122E-09   -2.804E-03   4.136149E-17 4.3778E-01    388541069  392169869   1.251E-02
     3   5.64700031E+04   6.880481E-09 8.6731E-09   1.019600E+00 4.7200E-01   1.163276E-08    7.102E+00   5.664966E-14 4.2793E+00    392169869  395798669   1.753E+01
