55053.505547200 17.485       0.037       38312080004196 35.3888270 25.2131460 02h21m33.32s 25d12m47.33s 2    0              1.860899e-07   189  189      178      17.408       0.006           17.438    17.437        17.441  17.437      0.034  0.024      11866977001643 35.3887700 25.2131420 3831     8     55053.506107200 167  17.516   20.593   27.538    1.650   2.113      0       131072 0           1           11866977 0.707158 159.262853 
55058.473347200 17.458       0.027       38312080004196 35.3888270 25.2131460 02h21m33.32s 25d12m47.33s 2    0              1.860899e-07   189  189      178      17.408       0.006           17.438    17.437        17.441  17.437      0.034  0.024      12037394002622 35.3887750 25.2131530 3831     8     55058.474377200 172  17.452   21.386   27.488    1.950   2.388      0       131072 0           1           12037394 0.707158 159.262853 
55058.481167200 17.408       0.027       38312080004196 35.3888270 25.2131460 02h21m33.32s 25d12m47.33s 2    0              1.860899e-07   189  189      178      17.408       0.006           17.438    17.437        17.441  17.437      0.034  0.024      12037285002568 35.3887970 25.2131420 3831     8     55058.482197200 172  17.405   21.337   27.490    2.050   2.551      0       131072 0           1           12037285 0.707158 159.262853 
55067.423597200 17.430       0.078       38312080004196 35.3888270 25.2131460 02h21m33.32s 25d12m47.33s 2    0              1.860899e-07   189  189      178      17.408       0.006           17.438    17.437        17.441  17.437      0.034  0.024      11882736001767 35.3888140 25.2131340 3831     8     55067.425457200 181  17.696   20.694   27.352    3.550   4.014      0       131072 0           1           11882736 0.707158 159.262853 
55067.502827200 17.423       0.076       38312080004196 35.3888270 25.2131460 02h21m33.32s 25d12m47.33s 2    0              1.860899e-07   189  189      178      17.408       0.006           17.438    17.437        17.441  17.437      0.034  0.024      11882818002749 35.3887870 25.2131370 3831     8     55067.504687200 181  17.378   21.448   27.351    1.850   2.322      0       131072 0           1           11882818 0.707158 159.262853 
55088.437787200 17.449       0.031       38312080004196 35.3888270 25.2131460 02h21m33.32s 25d12m47.33s 2    0              1.860899e-07   189  189      178      17.408       0.006           17.438    17.437        17.441  17.437      0.034  0.024      11839752002844 35.3887890 25.2131360 3831     8     55088.441397200 200  17.451   21.553   27.523    2.150   2.591      0       131072 0           1           11839752 0.707158 159.262853 
55088.481697200 17.435       0.031       38312080004196 35.3888270 25.2131460 02h21m33.32s 25d12m47.33s 2    0              1.860899e-07   189  189      178      17.408       0.006           17.438    17.437        17.441  17.437      0.034  0.024      11839735002809 35.3887920 25.2131300 3831     8     55088.485307200 200  17.441   21.482   27.523    2.250   2.611      0       131072 0           1           11839735 0.707158 159.262853 
55108.299667200 17.482       0.044       38312080004196 35.3888270 25.2131460 02h21m33.32s 25d12m47.33s 2    0              1.860899e-07   189  189      178      17.408       0.006           17.438    17.437        17.441  17.437      0.034  0.024      11807340001204 35.3887830 25.2131400 3831     8     55108.304517200 219  17.458   19.561   27.580    3.050   3.730      0       131072 0           1           11807340 0.707158 159.262853 
55127.454247200 17.404       0.030       38312080004196 35.3888270 25.2131460 02h21m33.32s 25d12m47.33s 2    0              1.860899e-07   189  189      178      17.408       0.006           17.438    17.437        17.441  17.437      0.034  0.024      11811541002102 35.3887800 25.2131300 3831     8     55127.459787200 236  17.396   21.134   27.966    2.650   3.318      0       131072 0           1           11811541 0.707158 159.262853 
55379.468137200 17.499       0.029       38312080004196 35.3888270 25.2131460 02h21m33.32s 25d12m47.33s 2    0              1.860899e-07   189  189      178      17.408       0.006           17.438    17.437        17.441  17.437      0.034  0.024      15096208001950 35.3888060 25.2131600 3831     8     55379.465147200 478  17.498   20.629   27.940    2.950   3.089      0       131072 0           1           15096208 0.707158 159.262853 
