#Name ranking RA DEC Semi_major Semi_minor Flux Var
3FGL J1745.3-2903c,4636.92676267,266.343,-29.063,0.0228,0.0219,1.50229e-07,48.418
3FGL J1747.0-2828,3986.02883072,266.775,-28.4819,0.0406,0.0352,1.975e-07,90.6134
3FGL J1405.4-6119,2539.30866291,211.356,-61.3168,0.0314,0.0255,1.45387e-07,43.9349
3FGL J1823.2-1339,2222.8882111,275.82,-13.6513,0.0289,0.0254,1.07826e-07,47.5418
3FGL J0536.4-3347,2206.51712566,84.1005,-33.7879,0.0376,0.029,3.76443e-08,200.791
3FGL J1906.6+0720,1698.40149338,286.671,7.3339,0.037,0.027,1.27812e-07,41.7046
3FGL J1800.8-2402,1255.20407252,270.222,-24.0351,0.0348,0.0338,9.94282e-08,46.6499
3FGL J1814.1-1734c,1246.36844468,273.545,-17.5817,0.0698,0.0526,2.52629e-07,56.9055
3FGL J1639.4-5146,1182.38541635,249.87,-51.7788,0.0309,0.0298,5.89454e-08,58.0275
3FGL J1852.8+0158,1004.04983187,283.209,1.9722,0.0628,0.0555,2.01669e-07,54.5154
3FGL J2004.4+3338,954.690696002,301.103,33.6451,0.0351,0.0333,6.97039e-08,50.2929
3FGL J1839.3-0552,948.41450383,279.848,-5.8816,0.0341,0.0282,7.65387e-08,37.4343
3FGL J1257.0-6338,883.594086993,194.253,-63.6356,0.0505,0.0434,5.26649e-08,115.521
3FGL J1857.2+0059,850.654917427,284.31,0.9863,0.0424,0.0357,7.07993e-08,57.1358
3FGL J1650.3-4600,830.138105853,252.599,-46.0141,0.0349,0.0315,5.20751e-08,55.0562
3FGL J0032.3-5522,817.792724475,8.0939,-55.3688,0.0551,0.0472,1.30818e-08,510.761
3FGL J1850.5-0024,812.346743582,282.632,-0.4049,0.0546,0.0436,9.45307e-08,64.2684
3FGL J1747.7-2904,794.382362529,266.943,-29.0748,0.0694,0.0602,1.5956e-07,65.3449
3FGL J1622.9-5004,767.254295888,245.726,-50.0753,0.0241,0.0233,2.49041e-08,54.349
3FGL J1653.6-0158,667.906904256,253.419,-1.9801,0.0357,0.0342,4.62406e-08,55.4034
3FGL J1702.8-5656,661.008529716,255.72,-56.9357,0.0436,0.0373,5.7459e-08,58.7752
3FGL J0223.6+6204,629.79688054,35.9061,62.0811,0.039,0.0357,6.59473e-08,41.7721
3FGL J1848.4-0141,624.151465006,282.118,-1.6927,0.0808,0.0572,1.72188e-07,52.6313
3FGL J1809.2-2016c,623.406923698,272.324,-20.2822,0.0556,0.046,1.18843e-07,42.1483
3FGL J1857.9+0210,612.753579558,284.49,2.1704,0.0601,0.0576,1.31654e-07,50.6174
3FGL J1026.2-5730,594.557015111,156.56,-57.5166,0.0539,0.0491,9.80439e-08,50.4189
3FGL J1050.4+0435,586.122130771,162.617,4.5994,0.0881,0.0698,3.04985e-08,371.271
3FGL J1843.7-0322,579.006689664,280.928,-3.3772,0.0852,0.0774,1.69844e-07,70.6258
3FGL J1512.8-5639,564.420168181,228.203,-56.6655,0.0531,0.0469,5.77732e-08,76.4352
3FGL J1754.0-2538,552.958389938,268.508,-25.6486,0.0291,0.0268,2.02533e-08,66.8921
3FGL J1848.6+3232,551.013694919,282.157,32.5445,0.0655,0.0484,2.83929e-08,193.281
3FGL J1827.6-0846,520.911083459,276.908,-8.7706,0.0536,0.0476,8.08785e-08,51.6241
3FGL J2017.9+3627,509.489877966,304.485,36.4591,0.0344,0.0318,4.39279e-08,39.8594
3FGL J1901.5-0126,466.244917975,285.399,-1.4481,0.0559,0.0532,7.21598e-08,60.366
3FGL J1715.4-4028,452.792030991,258.852,-40.4692,0.0435,0.0419,4.33123e-08,59.8606
3FGL J1744.7-3043,404.605079321,266.18,-30.7195,0.0712,0.0577,8.92658e-08,58.4995
3FGL J1819.5-1345,400.634012273,274.897,-13.7625,0.0875,0.0853,1.20724e-07,77.8145
3FGL J1740.5-2843,391.993900433,265.125,-28.717,0.0652,0.0542,9.37469e-08,46.4215
3FGL J1306.4-6043,390.394287731,196.615,-60.7317,0.0275,0.0263,2.48552e-08,35.6882
3FGL J1919.9+1407,389.040197129,289.981,14.1179,0.0775,0.0619,8.65681e-08,67.7297
3FGL J1503.5-5801,387.921522218,225.893,-58.0294,0.0713,0.0527,6.78651e-08,67.4757
3FGL J2041.1+4736,372.869362636,310.281,47.603,0.0503,0.0488,5.10909e-08,56.2796
3FGL J1358.5-6025,333.747828379,209.643,-60.4298,0.0558,0.0522,5.74478e-08,53.1618
3FGL J2034.4+3833c,332.499353292,308.621,38.5641,0.0528,0.0519,5.13333e-08,55.7625
3FGL J1650.0-4438c,324.326358795,252.507,-44.6387,0.1353,0.0803,1.88244e-07,58.8063
3FGL J1035.7-6720,317.09606031,158.926,-67.3335,0.0371,0.0337,2.64931e-08,47.0123
3FGL J1759.6-2141,314.415873321,269.91,-21.6919,0.0705,0.0524,9.78705e-08,37.284
3FGL J0307.3+4916,296.231435323,46.8433,49.2704,0.0315,0.0287,1.57331e-08,53.4759
3FGL J1820.3-1529c,291.396716942,275.1,-15.4891,0.0865,0.0755,1.32743e-07,45.0385
3FGL J1620.0-5101,289.017719158,245.009,-51.0278,0.0453,0.0444,3.61749e-08,50.4833
3FGL J1830.7-1630,285.856531075,277.698,-16.5143,0.0751,0.0553,7.61015e-08,49.0083
3FGL J1311.8-6230,283.549730027,197.968,-62.5072,0.0749,0.0614,8.86953e-08,46.188
3FGL J0744.1-2523,277.671913386,116.045,-25.3994,0.0546,0.0502,3.89783e-08,61.3416
3FGL J2032.5+4032,276.269819634,308.125,40.5349,0.1653,0.1152,1.16964e-07,141.305
3FGL J1744.1-7619,271.812492331,266.045,-76.3286,0.0347,0.0337,1.93039e-08,51.7288
3FGL J1837.6-0717,262.860133064,279.402,-7.2968,0.0863,0.0574,9.91396e-08,41.262
3FGL J1626.2-4911,255.396727735,246.569,-49.1973,0.0814,0.0649,9.58241e-08,44.2344
3FGL J1619.0-5014c,250.462706185,244.773,-50.2437,0.0981,0.0849,1.03591e-07,63.2628
3FGL J1208.4-6239,239.232445646,182.12,-62.6612,0.0394,0.0374,1.71862e-08,64.4402
3FGL J0359.5+5413,232.321521013,59.8811,54.222,0.0407,0.0403,3.5596e-08,33.6308
3FGL J0523.3-2528,227.851652956,80.8392,-25.4763,0.0418,0.041,2.44604e-08,50.1532
3FGL J0526.4+2247,227.431058996,81.6091,22.798,0.0549,0.0495,3.42317e-08,56.7216
3FGL J1824.3-0620,227.014573085,276.099,-6.3395,0.0559,0.0519,4.92036e-08,42.0519
3FGL J1849.5-0124c,225.511561322,282.397,-1.4132,0.0764,0.0664,9.78045e-08,36.7469
3FGL J1754.0-2930,219.902612604,268.5,-29.5059,0.1082,0.0828,1.0372e-07,59.6729
3FGL J1747.0-3506,218.416824052,266.756,-35.1072,0.0915,0.074,7.20443e-08,64.4895
3FGL J1008.6-5706,216.083497508,152.172,-57.1129,0.1016,0.0597,1.01497e-07,40.5682
3FGL J1904.7-0708,213.510952116,286.198,-7.1382,0.0673,0.0618,4.81059e-08,57.9929
3FGL J1119.9-2204,213.177218899,169.984,-22.0673,0.0419,0.039,1.74761e-08,62.6218
3FGL J1025.7-5659c,206.940867328,156.443,-56.9997,0.0768,0.0563,6.33994e-08,44.3385
3FGL J2108.1+5202,206.624225781,317.045,52.0424,0.0837,0.0612,5.81168e-08,57.2145
3FGL J1554.4-5315c,204.851775518,238.61,-53.2619,0.0491,0.0439,2.80244e-08,49.4994
3FGL J1624.2-4041,204.594816684,246.059,-40.6865,0.0447,0.0417,2.35865e-08,50.7954
3FGL J1640.6-4917,203.504936132,250.156,-49.289,0.0991,0.0747,6.33439e-08,74.7161
3FGL J1656.9-3919c,193.464425468,254.245,-39.3274,0.0722,0.0658,7.28275e-08,39.6478
3FGL J1624.1-4700,192.680551629,246.042,-47.0058,0.0905,0.0808,8.74035e-08,50.6429
3FGL J1855.4+0454,190.809478703,283.856,4.9116,0.0887,0.0673,9.26974e-08,38.603
