|             null|         null|        null|                 null|        null|        null|          null|          null|  null|           null|           null|       null|       null|       null|         null|            null|      null|          null|    null|        null|    null|       null|                 null|        null|        null|       null|  null|             null|       null|     null|     null|      null|    null|       null|       null|       null|        null|        null|       null|           null|        null|
   55459.412207200        19.765        0.093        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        11040608002080   35.3622180   25.2426680        3831      8   55459.416227200         554    19.756    21.005     27.951    2.450       3.055           0      131072            0            1    11040608        0.089504   161.263523 
   55468.495947200        19.494        0.425        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        11079070001970   35.3622670   25.2427110        3831      8   55468.500537200         558    19.390    20.900     27.849    1.850       2.610           0      131072            0            1    11079070        0.089504   161.263523 
   55427.489857200        19.509        0.053        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        11196370003184   35.3622200   25.2426490        3831      8   55427.491247200         526    19.529    22.056     27.972    1.650       1.721           0      131072            0            1    11196370        0.089504   161.263523 
   55108.299667200        18.755        0.125        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        11807340001139   35.3622740   25.2427010        3831      8   55108.304517200         219    18.732    19.561     27.579    3.050       3.828           0      131088            0            1    11807340        0.089504   161.263523 
   55127.454247200        18.959        0.057        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        11811541002007   35.3622820   25.2426530        3831      8   55127.459787200         236    18.952    21.134     27.971    2.650       3.322           0      131072            0            1    11811541        0.089504   161.263523 
   55486.371397200        19.585        0.080        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        12703292002787   35.3622800   25.2427030        3831      8   55486.376777200         580    19.600    21.658     27.931    1.850       3.045           0      131072            0            1    12703292        0.089504   161.263523 
   55486.327917200        19.627        0.087        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        12703392002544   35.3623290   25.2427070        3831      8   55486.333297200         580    19.643    21.558     27.928    1.650       1.805           0      131072            0            1    12703392        0.089504   161.263523 
   55498.227497200        19.506        0.231        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        12786652002230   35.3623040   25.2427050        3831      8   55498.233127200         593    19.666    21.382     27.842    1.850       1.978           0      131072            0            1    12786652        0.089504   161.263523 
   55498.284017200        19.497        0.226        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        12786756002696   35.3623270   25.2427190        3831      8   55498.289647200         593    19.322    21.638     27.779    1.450       1.581           0      131072            0            1    12786756        0.089504   161.263523 
   55480.477577200        19.648        0.065        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        12806745002694   35.3623230   25.2426820        3831      8   55480.482747200         574    19.663    21.584     27.948    2.150       2.588           0      131072            0            1    12806745        0.089504   161.263523 
   55480.521277200        19.769        0.079        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        12806768002428   35.3623310   25.2427100        3831      8   55480.526447200         574    19.771    21.384     27.912    2.150       2.354           0      131072            0            1    12806768        0.089504   161.263523 
   55456.319467200        19.428        0.064        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        12937243002601   35.3623320   25.2426710        3831      8   55456.323267200         551    19.428    21.524     27.959    1.850       1.902           0      131072            0            1    12937243        0.089504   161.263523 
   55088.481697200        19.078        0.054        38312070004735   35.3623110   25.2426920   02h21m26.95s   25d14m33.69s      2               0    2.973256e-07           4           4           4        19.103            0.027     19.310         19.310   19.341       19.341    0.275       0.275        11842041002332   35.3623320   25.2426980        3831      7   55088.485307200         200    19.090    21.385     27.314    2.550       2.725           0      131072            0            1    11842041        0.104773   196.211008 
   55088.437787200        19.151        0.054        38312070004735   35.3623110   25.2426920   02h21m26.95s   25d14m33.69s      2               0    2.973256e-07           4           4           4        19.103            0.027     19.310         19.310   19.341       19.341    0.275       0.275        11842058002339   35.3622880   25.2426450        3831      7   55088.441397200         200    19.156    21.406     27.311    2.550       2.740           0      131072            0            1    11842058        0.104773   196.211008 
   55053.505547200        19.470        0.114        38312070004735   35.3623110   25.2426920   02h21m26.95s   25d14m33.69s      2               0    2.973256e-07           4           4           4        19.103            0.027     19.310         19.310   19.341       19.341    0.275       0.275        11868426001354   35.3622940   25.2426300        3831      7   55053.506107200         167    19.516    20.336     27.309    2.050       2.058           0      131072            0            1    11868426        0.104773   196.211008 
   55067.502827200        19.664        0.076        38312070004735   35.3623110   25.2426920   02h21m26.95s   25d14m33.69s      2               0    2.973256e-07           4           4           4        19.103            0.027     19.310         19.310   19.341       19.341    0.275       0.275        11882285002206   35.3623410   25.2427040        3831      7   55067.504687200         181    19.678    21.310     27.174    2.150       2.267           0      131072            0            1    11882285        0.104773   196.211008 
   55058.481167200        21.172        0.151        38312075000094   35.3618030   25.2427470   02h21m26.83s   25d14m33.89s      2               1            null           1           0           0          null             null       null           null     null         null     null        null        12035863002050   35.3618030   25.2427470        3831      7   55058.482197200         172    21.192    21.146     27.275    2.450       2.985           0          24            0            1    12035863        1.685449   273.304574 
