#  Ignore the first 4 columns because those are p and m from data directly and from an optimizer without an error. The relevant columns are 
#  p_o,sigma_p_low,sigma_p_high,plimit,m,sigma_m_low,sigma_m_high,mlimit
#sourcename data_p data_m opt_p opt_m p_o sigma_p_low sigma_p_high plimit m sigma_m_low sigma_m_high mlimit Nobs
RBPLJ0849+5108 0.16898 0.5864799 0.1630361 0.6582604 0.163 0.052 0.074 NA 0.658 0.199 0.334 NA 5 
RBPLJ0854+2006 0.1588885 0.4096369 0.1581446 0.3861378 0.158 0.012 0.013 NA 0.386 0.048 0.06 NA 26 
RBPLJ0854+5757 0.02061667 0.8026653 NA NA NA NA NA NA NA NA NA NA 6 
RBPLJ0948+0022 0.03795 0.7111789 NA NA NA NA NA NA NA NA NA NA 6 
RBPLJ0956+2515 0.0198 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ0957+5522 0.038975 0.244778 0.03978609 0.002066875 0.04 0.005 0.005 NA 0.004 NA NA 0.667 4 
RBPLJ0958+6533 0.1676333 0.2696643 0.1671018 0.2594421 0.1671 0.015 0.017 NA 0.259 0.056 0.084 NA 9 
RBPLJ1010+8250 0.0934 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1012+0630 0.1276 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1014+2301 0.0094 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1017+6116 0.01205 0.2992734 NA NA NA NA NA NA NA NA NA NA 2 
RBPLJ1018+3542 0.018 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1023+3948 0.0284 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1032+3738 0.1187667 0.2308355 0.1118076 0.01124727 0.112 0.02 0.02 NA 0.012 NA NA 0.844 3 
RBPLJ1033+6051 0.1886 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1037+5711 0.02963125 0.5425261 0.02721229 0.5596149 0.027 0.004 0.005 NA 0.561 0.135 0.187 NA 16 
RBPLJ1041+0610 NaN NA NA NA NA NA NA NA NA NA NA NA 0 
RBPLJ1044+8054 NaN NA NA NA NA NA NA NA NA NA NA NA 0 
RBPLJ1048+7143 0.1213143 0.7476117 0.1181855 0.8131624 0.118 0.038 0.056 NA 0.813 0.22 0.339 NA 7 
RBPLJ1054+2210 0.0668 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1058+0133 0.1303 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1058+5628 0.037725 0.6064461 0.03626292 0.7070275 0.036 0.007 0.01 NA 0.708 0.168 0.24 NA 12 
RBPLJ1059-1134 0.0962 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1104+0730 0.1374 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1104+3812 0.0538 0.5875988 0.05368489 0.533032 0.054 0.022 0.044 NA 0.533 0.182 0.377 NA 3 
RBPLJ1121-0553 0.0299 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1132+0034 0.0729 0.01163962 NA NA NA NA NA NA NA NA NA NA 2 
RBPLJ1136+7009 0.0268 0.3871026 0.02613191 0.2143088 0.026 0.003 0.003 NA 0.216 NA NA 0.432 15 
RBPLJ1148+5924 0.0355 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1152-0841 NaN NA NA NA NA NA NA NA NA NA NA NA 0 
RBPLJ1153+4931 NaN NA NA NA NA NA NA NA NA NA NA NA 0 
RBPLJ1154-0010 NaN NA NA NA NA NA NA NA NA NA NA NA 0 
RBPLJ1159+2914 0.0572 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1203+6031 0.01502941 0.6045408 0.009127214 0.3758193 0.009 NA NA 0.015 0.383 NA NA 3.564 17 
RBPLJ1204-0710 NaN NA NA NA NA NA NA NA NA NA NA NA 0 
RBPLJ1217+3007 0.1064563 0.2769385 0.1063347 0.2495372 0.106 0.006 0.007 NA 0.25 0.042 0.055 NA 16 
RBPLJ1220+0203 0.0068 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1221+2813 0.1613429 0.1448304 0.1572832 0.1247673 0.1573 0.009 0.01 NA 0.125 0.036 0.057 NA 7 
RBPLJ1221+3010 0.05405 0.006541228 NA NA NA NA NA NA NA NA NA NA 2 
RBPLJ1222+0413 0.1922 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1224+2122 0.1014375 0.1961845 0.1024584 0.1638416 0.102 0.007 0.008 NA 0.164 0.048 0.073 NA 8 
RBPLJ1224+2436 0.0487 0.4805257 0.04778963 0.4297603 0.048 0.011 0.014 NA 0.429 0.135 0.231 NA 5 
RBPLJ1229+0203 0.007 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1230+2518 0.0579 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1231+2847 0.0695 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1238-1959 0.1779 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1245+5709 0.1445 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1248+5820 0.05027692 0.3701365 0.05035975 0.327636 0.05 0.004 0.005 NA 0.328 0.072 0.1 NA 13 
RBPLJ1253+5301 0.1407 0.07236914 NA NA NA NA NA NA NA NA NA NA 2 
RBPLJ1256-0547 0.1909211 0.2816245 0.1905445 0.267957 0.1906 0.012 0.013 NA 0.268 0.039 0.051 NA 19 
RBPLJ1314+2348 0.0708 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1327+2210 NaN NA NA NA NA NA NA NA NA NA NA NA 0 
RBPLJ1337-1257 0.2146 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1353+7532 NaN NA NA NA NA NA NA NA NA NA NA NA 0 
RBPLJ1354-1041 0.0169 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1357+0128 0.1157 0.235906 NA NA NA NA NA NA NA NA NA NA 2 
RBPLJ1427+2348 0.03987143 0.4653084 0.03968157 0.4925272 0.04 0.008 0.01 NA 0.492 0.129 0.204 NA 7 
RBPLJ1428+4240 0.01628889 0.4304795 NA NA NA NA NA NA NA NA NA NA 9 
RBPLJ1436+6336 0.0081 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1442+1200 0.01805 0.3522982 NA NA NA NA NA NA NA NA NA NA 4 
RBPLJ1505+0326 0.0455375 0.6305815 0.027189 0.5839654 0.027 NA NA 0.052 0.59 NA NA 3.968 16 
RBPLJ1510-0543 0.0292 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1512+0203 0.0684 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1512-0905 0.03791667 0.6485662 0.03677882 0.632947 0.037 0.004 0.004 NA 0.632 0.092 0.117 NA 36 
RBPLJ1516+1932 0.1327 NA NA NA NA NA NA NA NA NA NA NA 1 
